Scheme_ID,Budget_Crore,Allocated_Funds,Beneficiaries_Lakhs,Corruption_Cases,Fraud_Cases,Income_Criteria
SCM3012,28971,54126,112.16,32,13,Below 2L
SCM3013,27671,96451,25.96,4,12,Below 2L
SCM3014,41572,97341,97.11,29,10,Below 2L
SCM3015,48753,92725,186.83,4,3,Below 2L
SCM3016,1501,58235,202.79,42,8,Below 2L
SCM3017,10104,27900,154.8,24,3,2L-5L
SCM3018,33413,3293,257.41,25,15,2L-5L
SCM3019,35401,78124,189.06,18,5,Above 5L
SCM3020,34877,62149,485.19,11,19,Below 2L
SCM3021,28108,97885,403.69,7,13,2L-5L
SCM3022,6001,25923,465.5,9,15,No Limit
SCM3023,4185,70984,278.76,17,15,Above 5L
,2315,51938,339.2,40,19,Above 5L
SCM3025,48909,54668,83.42,10,0,Above 5L
SCM3026,15863,13290,376.42,29,13,Above 5L
SCM3027,2284,3042,118.06,4,14,Below 2L
SCM3028,10454,7555,73,23,0,No Limit
SCM3029,34143,2212,21.03,44,7,2L-5L
SCM3030,9604,87100,236.17,12,15,2L-5L
SCM3031,3623,84441,143.47,35,2,Below 2L
SCM3032,8807,65346,493.36,48,18,Above 5L
SCM3033,21267,76992,124.99,26,11,Above 5L
SCM3034,33887,24624,433.28,31,12,2L-5L
SCM3035,25971,6175,158.29,13,15,Above 5L
SCM3036,24082,68875,374.59,40,9,No Limit
SCM3037,1149,47782,329.95,1,16,Below 2L
SCM3038,13481,79231,280.94,3,17,Below 2L
SCM3039,2440,55421,,10,17,No Limit
SCM3040,42317,36242,335.59,41,15,Below 2L
SCM3041,48490,31659,203.7,36,10,Above 5L
SCM3042,35853,89847,274.1,47,6,Above 5L
SCM3043,12161,43865,294.94,37,11,No Limit
SCM3044,5805,66557,133.75,36,15,Above 5L
SCM3045,24114,79286,169.93,12,10,Below 2L
SCM3046,33573,76260,9.12,8,0,No Limit
SCM3047,28247,66760,426.09,41,0,Below 2L
SCM3048,2584,68761,378.02,26,4,Below 2L
SCM3049,1845,3545,91.85,1,16,No Limit
SCM3050,22248,58896,181.09,46,1,No Limit
SCM3051,16316,26712,210.59,26,15,No Limit
SCM3052,32647,88751,167.26,11,18,No Limit
SCM3053,42029,46766,,11,,Above 5L
SCM3054,46842,66168,362.74,2,16,Above 5L
SCM3055,22112,24054,383.6,25,8,2L-5L
SCM3056,877,50533,452.07,14,3,2L-5L
SCM3057,9625,97715,297.62,26,,No Limit
SCM3058,43177,10065,307.31,44,15,Above 5L
SCM3059,43448,16674,360.99,34,12,Below 2L
SCM3060,3214,79387,340.65,12,14,No Limit
SCM3061,45273,55291,434.92,4,18,Above 5L
SCM3062,35804,85599,385.12,42,13,Above 5L
SCM3063,20594,63147,60.32,16,5,2L-5L
SCM3064,1445,4544,464.19,18,5,2L-5L
SCM3065,2141,68457,341.58,19,12,2L-5L
SCM3066,14430,14249,63.66,22,16,Above 5L
SCM3067,13298,93417,386.01,11,19,Above 5L
SCM3068,40372,60736,179.27,31,12,2L-5L
SCM3069,9847,34365,403.01,28,18,Below 2L
SCM3070,17173,83752,477.71,4,14,Above 5L
SCM3071,30386,63885,127.7,48,19,2L-5L
SCM3072,28128,55609,428.72,42,13,Above 5L
SCM3073,26210,34162,386.8,1,10,No Limit
SCM3074,23540,21903,335.63,5,0,2L-5L
SCM3075,32987,21032,192.52,20,16,Above 5L
SCM3076,39037,24624,55.02,34,11,2L-5L
SCM3077,38700,35227,242,14,18,Above 5L
SCM3078,47517,72887,52.92,17,1,2L-5L
SCM3079,12346,32002,250.12,48,1,Above 5L
SCM3080,27528,26624,410.16,46,6,Above 5L
SCM3081,1713,25806,,1,14,No Limit
SCM3082,48443,92122,99.08,4,12,Below 2L
SCM3083,7723,50336,104.01,Unknown,11,Above 5L
SCM3084,35901,54594,405.46,40,10,Below 2L
SCM3085,5759,98189,234.58,5,10,Below 2L
SCM3086,45123,7178,457.91,41,18,Above 5L
SCM3087,29753,59418,384.52,18,3,Below 2L
SCM3088,12180,8968,368.24,15,0,No Limit
SCM3089,12076,34433,51.07,11,12,No Limit
SCM3090,43686,32019,18.03,23,,Above 5L
SCM3091,15818,77789,158.45,8,2,Below 2L
SCM3092,9441,8927,108.73,2,19,Above 5L
SCM3093,48064,73599,356.18,16,12,2L-5L
SCM3094,16396,42290,225.42,29,13,Above 5L
SCM3095,26385,59197,261.62,26,10,Above 5L
SCM3096,14234,51465,406.89,23,9,Below 2L
SCM3097,45109,41890,239.3,41,4,2L-5L
SCM3098,29437,44940,272.51,49,7,Above 5L
SCM3099,555,78951,421.18,38,15,No Limit
SCM3100,7743,82402,215.72,6,4,2L-5L
SCM3101,4720,36432,41.66,8,7,2L-5L
SCM3102,8967,88762,260.9,15,2,Below 2L
SCM3103,25677,2789,289.72,10,4,No Limit
SCM3104,28747,39190,255.95,8,,2L-5L
SCM3105,48994,71248,129.1,0,12,No Limit
SCM3106,25571,33595,111.92,43,4,Below 2L
SCM3107,5199,52646,184.94,34,0,2L-5L
SCM3108,13987,55214,83.2,19,15,Below 2L
SCM3109,43414,8711,333.05,7,18,2L-5L
SCM3110,48303,64646,307.38,6,19,No Limit
SCM3111,27769,46339,316.23,36,9,2L-5L
SCM3112,159,28209,112.48,36,5,Below 2L
SCM3113,12773,36624,123.34,19,15,Above 5L
SCM3114,22795,99669,393.72,4,10,2L-5L
SCM3115,5631,1871,345.09,11,,No Limit
SCM3116,2864,17685,437.6,20,3,Below 2L
SCM3117,1894,17220,201.81,19,12,Below 2L
SCM3118,10821,53239,273.71,4,4,2L-5L
SCM3119,5786,98602,369.41,22,6,No Limit
SCM3120,47543,85543,487.08,6,12,2L-5L
SCM3121,29567,6741,494.82,0,1,Above 5L
SCM3122,37855,58897,499.59,24,7,Above 5L
SCM3123,12988,13536,445.27,18,7,Above 5L
SCM3124,39448,62638,319.86,1,19,2L-5L
,13633,10035,3.58,11,16,2L-5L
SCM3126,22016,19666,349.8,41,2,2L-5L
SCM3127,3653,57118,119.38,24,8,2L-5L
SCM3128,8244,85843,28.68,31,5,Below 2L
SCM3129,42142,79147,348.62,47,0,No Limit
SCM3130,45307,45781,378.03,42,18,2L-5L
SCM3131,25609,59360,329.75,17,7,Above 5L
SCM3132,5537,11385,182.65,30,11,Below 2L
SCM3133,24647,97510,255.55,43,,Below 2L
SCM3134,32618,44790,467.48,8,8,2L-5L
,23930,59291,364.83,20,3,Above 5L
SCM3136,45145,6758,252.39,38,19,2L-5L
SCM3137,8849,8473,296.77,6,4,Below 2L
SCM3138,46653,48627,463.85,12,7,2L-5L
SCM3139,22449,72068,,19,19,Above 5L
SCM3140,29389,4774,51.01,12,8,Above 5L
SCM3141,6015,58254,162.98,27,2,Above 5L
SCM3142,28795,23745,207.66,36,8,Above 5L
SCM3143,9834,4171,136.55,24,12,Above 5L
SCM3144,14803,46216,264.53,45,16,Above 5L
SCM3145,22599,34100,152.5,Unknown,7,Below 2L
SCM3146,21578,87965,51.68,44,7,Above 5L
SCM3147,2482,33363,94.12,25,14,Below 2L
,30228,88370,459.09,43,17,No Limit
SCM3149,25683,23341,314.83,32,9,Above 5L
SCM3150,42341,47459,,39,3,2L-5L
SCM3151,37226,86771,183.52,39,16,Above 5L
SCM3152,41180,69700,246.74,26,18,2L-5L
SCM3153,46899,45105,336.6,14,4,2L-5L
SCM3154,28792,3894,291.13,2,11,No Limit
SCM3155,33007,44304,466.36,28,19,Above 5L
SCM3156,7744,34438,312.91,30,,2L-5L
SCM3157,34683,90974,455.4,39,17,No Limit
SCM3158,37169,87400,2.81,17,9,2L-5L
SCM3159,45198,68580,445.29,23,11,No Limit
SCM3160,15285,40154,360.76,38,7,No Limit
SCM3161,40153,52322,86.18,43,0,No Limit
SCM3162,42088,57013,131.59,46,13,Above 5L
SCM3163,10546,41628,271.45,7,0,Below 2L
SCM3164,23262,25703,62.56,28,0,2L-5L
SCM3165,14250,95550,392.71,47,1,Below 2L
SCM3166,41404,6508,395.61,36,7,Above 5L
SCM3167,29937,78719,150.54,36,9,No Limit
SCM3168,36103,61387,35,8,19,No Limit
SCM3169,1487,14148,494.42,44,4,Below 2L
SCM3170,12309,22915,125.44,29,0,Above 5L
SCM3171,1083,24106,33.87,14,17,Below 2L
SCM3172,47214,80353,165.05,39,9,Above 5L
,32251,69017,484.5,11,6,2L-5L
SCM3174,21903,61298,396.48,40,9,Below 2L
SCM3175,19478,94587,240.22,26,5,2L-5L
SCM3176,7648,70184,152.73,46,3,Below 2L
SCM3177,39721,56624,211.71,46,7,Below 2L
SCM3178,875,38347,8.78,30,9,Below 2L
SCM3179,21465,82849,359.21,12,8,Below 2L
SCM3180,30807,23990,49.91,14,5,No Limit
SCM3181,49987,74071,259.57,4,,2L-5L
,24237,74506,,41,18,No Limit
,21631,94229,0.94,24,3,Below 2L
,17970,46041,489.94,11,4,Below 2L
SCM3185,49647,58075,,48,4,Above 5L
SCM3186,45838,34582,38.7,8,4,2L-5L
SCM3187,2101,26147,427.21,25,5,Above 5L
SCM3188,44507,78788,76.06,36,19,2L-5L
SCM3189,14856,86024,,8,17,Above 5L
SCM3190,40930,53479,247.4,4,5,Above 5L
SCM3191,27963,28726,65.05,45,11,Above 5L
SCM3192,10146,56089,491.21,6,0,No Limit
SCM3193,23752,43816,5.3,40,13,2L-5L
SCM3194,37056,48918,25.69,30,3,2L-5L
SCM3195,13986,74965,416.66,43,0,No Limit
SCM3196,20845,16870,119.95,36,11,Above 5L
SCM3197,39217,82243,,6,5,Above 5L
SCM3198,31923,3639,155.64,4,13,Below 2L
SCM3199,39048,41020,34.98,16,18,2L-5L
SCM3200,13422,45993,5.39,10,16,Below 2L
SCM3201,7894,76084,141.36,36,2,Below 2L
SCM3202,46269,43005,236.92,35,16,No Limit
SCM3203,49995,65767,0.61,26,6,Below 2L
SCM3204,6262,73810,290.6,0,2,Above 5L
SCM3205,48791,47718,166.9,0,15,No Limit
SCM3206,16857,72087,195.14,13,15,No Limit
SCM3207,6005,37869,130.78,27,19,Above 5L
SCM3208,28865,98348,,40,9,2L-5L
SCM3209,45144,1305,115.14,0,17,No Limit
SCM3210,38557,51012,67.5,7,11,2L-5L
SCM3211,19504,86711,445.33,44,15,Above 5L
SCM3212,15480,26718,195.34,40,8,2L-5L
SCM3213,15608,75544,38.56,46,6,Below 2L
SCM3214,19776,87813,115.24,42,4,Below 2L
SCM3215,23360,92954,155.04,25,18,2L-5L
,6997,24296,384.85,35,18,Below 2L
SCM3217,1664,90618,11.23,28,1,No Limit
SCM3218,49202,75544,239.18,39,7,Below 2L
SCM3219,13970,10391,203.91,44,14,2L-5L
SCM3220,14319,24399,,48,3,No Limit
SCM3221,16541,53916,90.12,3,13,2L-5L
SCM3222,19980,81438,313.97,41,19,No Limit
SCM3223,10479,66031,101.18,1,3,Below 2L
SCM3224,3048,76101,274.26,29,4,No Limit
SCM3225,29693,82328,277.58,46,6,Above 5L
SCM3226,36002,97002,37.77,19,,Below 2L
SCM3227,18071,26313,228.28,29,0,No Limit
,9069,35689,230.63,17,,No Limit
SCM3229,20746,56226,159.64,29,0,Above 5L
SCM3230,3778,69835,138.65,45,11,No Limit
SCM3231,43608,82060,112.23,34,10,2L-5L
SCM3232,27619,92423,3.07,0,14,Above 5L
SCM3233,3443,31142,1.01,2,4,Above 5L
SCM3234,4114,4794,294.93,22,11,No Limit
SCM3235,5207,31723,145.8,44,3,2L-5L
SCM3236,44738,52342,84.03,39,5,Below 2L
SCM3237,37196,55097,342.4,21,16,No Limit
SCM3238,37523,71235,,48,0,2L-5L
SCM3239,38726,64832,457.49,47,5,No Limit
SCM3240,38488,36090,415.53,47,6,Below 2L
SCM3241,41980,98832,363.39,43,14,No Limit
SCM3242,32432,82858,63.38,47,6,Below 2L
SCM3243,39872,64958,333.08,14,7,2L-5L
SCM3244,34110,87029,346.99,40,16,Below 2L
SCM3245,23499,13003,381.69,15,19,No Limit
SCM3246,49332,33677,131.64,26,1,Below 2L
SCM3247,2761,9001,320.18,31,13,Below 2L
SCM3248,4898,47081,,33,18,Above 5L
SCM3249,640,78332,192.72,41,14,No Limit
SCM3250,22429,38617,331.79,11,16,Above 5L
SCM3251,25950,76375,43.44,17,9,No Limit
SCM3252,19269,8668,321.79,17,11,2L-5L
SCM3253,3257,98361,303.05,3,5,No Limit
SCM3254,37585,8098,105.39,33,19,Below 2L
SCM3255,5436,81745,409.12,38,15,Below 2L
SCM3256,7265,46499,437.22,18,3,2L-5L
SCM3257,27718,76097,105.32,42,,No Limit
SCM3258,42380,29889,38.07,44,12,No Limit
,47596,31115,301.83,30,4,2L-5L
SCM3260,13854,53621,240.01,48,16,Below 2L
SCM3261,5309,52242,213.85,30,2,2L-5L
SCM3262,14590,30416,380.53,41,2,No Limit
SCM3263,27701,63027,484.83,47,2,2L-5L
SCM3264,7745,29090,238.88,19,19,Above 5L
SCM3265,38608,44404,3.18,47,19,No Limit
SCM3266,37022,13717,298.17,19,2,2L-5L
SCM3267,35533,48787,327.02,31,13,Below 2L
SCM3268,6118,71907,,19,7,2L-5L
SCM3269,26474,5426,99.78,15,0,No Limit
SCM3270,5813,35495,262.21,18,4,No Limit
,45939,96922,223.62,30,3,Above 5L
SCM3272,30172,46655,332.25,12,6,Above 5L
SCM3273,21635,54819,32.07,19,7,2L-5L
SCM3274,31420,55926,442.02,42,7,Above 5L
SCM3275,27663,20198,255.63,11,7,Above 5L
SCM3276,48195,82817,438.54,48,0,Below 2L
SCM3277,19062,86345,170.18,46,10,2L-5L
SCM3278,1126,34317,326.8,25,19,Above 5L
SCM3279,4573,42698,478.37,34,11,No Limit
SCM3280,4767,41975,471.7,40,,No Limit
SCM3281,27989,64416,472.06,9,18,2L-5L
SCM3282,26240,95960,,11,18,No Limit
SCM3283,17070,79198,201.57,23,1,2L-5L
SCM3284,16041,23720,30.48,8,11,Above 5L
SCM3285,29128,40164,154.81,4,14,Below 2L
SCM3286,33552,64435,,30,3,Above 5L
,22526,94349,310.11,33,2,Below 2L
SCM3288,3368,3917,390.4,44,8,Above 5L
SCM3289,15293,73937,256.72,10,18,No Limit
SCM3290,28166,20070,397.76,8,19,Below 2L
SCM3291,758,49007,6.51,21,17,Above 5L
SCM3292,34164,28816,410.26,39,17,No Limit
,34393,62512,89.26,46,7,Below 2L
SCM3294,43142,70273,230.52,27,6,Below 2L
,40018,95440,221.35,15,13,Below 2L
SCM3296,7892,90792,436.59,9,6,No Limit
SCM3297,6704,87480,482.99,33,7,No Limit
SCM3298,47921,79369,127.63,14,4,2L-5L
SCM3299,38657,33235,33.8,17,7,No Limit
SCM3300,7520,22468,325.3,44,8,2L-5L
SCM3301,38621,35961,251.47,30,19,Below 2L
SCM3302,48412,76024,282.9,4,13,2L-5L
SCM3303,23118,40688,23.23,32,5,Below 2L
SCM3304,5208,20055,387.68,28,14,2L-5L
SCM3305,27250,90914,116.25,2,14,No Limit
,5347,94016,167.53,22,15,Below 2L
SCM3307,8501,19429,114.25,9,9,No Limit
SCM3308,17107,42713,472.98,46,11,Below 2L
SCM3309,10097,21160,84.44,31,12,2L-5L
SCM3310,5361,21343,366.19,47,9,2L-5L
SCM3311,4368,81266,122.95,26,13,Below 2L
SCM3312,6084,97200,212.52,35,12,Below 2L
SCM3313,21026,42307,498.03,23,19,Above 5L
SCM3314,31962,36663,50.38,19,15,2L-5L
SCM3315,32558,3298,440.69,2,4,Below 2L
SCM3316,110,54852,473.03,4,13,Above 5L
SCM3317,17244,10102,,2,6,Below 2L
SCM3318,26003,82108,5.08,39,12,2L-5L
SCM3319,1277,51097,410.42,5,17,2L-5L
SCM3320,27046,35712,441.15,14,3,Below 2L
SCM3321,9268,31571,490.47,5,8,2L-5L
SCM3322,2489,26538,419.67,22,17,2L-5L
SCM3323,6464,77029,222.85,29,11,Above 5L
SCM3324,27133,67829,344.36,38,10,2L-5L
SCM3325,48645,63640,242.62,39,0,Above 5L
SCM3326,11965,8033,176.57,47,0,Below 2L
SCM3327,19036,848,313.25,20,4,No Limit
SCM3328,12427,1216,384.94,44,6,No Limit
,32352,46501,317.99,36,17,Above 5L
SCM3330,35178,76423,413.31,21,14,Below 2L
SCM3331,3841,17700,,1,18,2L-5L
SCM3332,40153,28908,186.91,13,,Below 2L
SCM3333,24101,66942,156.36,17,3,No Limit
SCM3334,3939,28635,97.14,49,8,2L-5L
SCM3335,40449,56101,221.64,49,4,Below 2L
SCM3336,19239,25628,473.94,14,6,2L-5L
SCM3337,47005,29290,269.05,36,8,Above 5L
SCM3338,25498,54332,143.27,1,18,Below 2L
SCM3339,25136,75255,177.09,42,16,2L-5L
SCM3340,38105,78878,306.58,19,3,2L-5L
SCM3341,45372,10434,176.44,9,4,Below 2L
SCM3342,1840,49525,269.22,4,17,No Limit
SCM3343,18608,37887,137.15,31,8,No Limit
SCM3344,31711,12360,173.03,1,4,2L-5L
SCM3345,5391,1891,352.89,43,16,No Limit
SCM3346,31209,68767,292.35,48,,Above 5L
SCM3347,19581,58826,46.83,4,16,2L-5L
SCM3348,5347,89100,486.59,20,14,Below 2L
SCM3349,41713,19770,24.76,17,0,Above 5L
,21483,88357,41.56,47,12,Below 2L
SCM3351,44601,34107,350.72,39,,2L-5L
SCM3352,25419,70508,354.04,3,4,Above 5L
SCM3353,39434,78729,9.57,31,15,2L-5L
SCM3354,23828,99351,321.41,35,17,Below 2L
SCM3355,33720,18521,16.73,3,1,No Limit
SCM3356,30542,70209,480.39,16,0,No Limit
SCM3357,21410,90126,348.1,41,7,2L-5L
SCM3358,42621,29690,93.37,32,17,No Limit
,21552,50072,79.14,21,4,Below 2L
,12237,82346,284.87,17,8,2L-5L
SCM3361,43736,34335,316.8,26,17,No Limit
SCM3362,15005,73819,415.64,14,10,2L-5L
SCM3363,21873,46511,451.67,24,14,No Limit
SCM3364,30124,98094,196.33,9,12,Above 5L
,17802,83111,422.06,15,10,No Limit
SCM3366,16605,27255,271.24,3,6,Below 2L
SCM3367,4354,89054,235.34,30,17,Below 2L
SCM3368,49107,53478,349.52,31,0,Below 2L
SCM3369,8598,44661,51.69,23,13,2L-5L
,12274,89319,132.77,17,9,Above 5L
SCM3371,29522,43735,408.4,31,8,No Limit
SCM3372,29833,83089,252.09,27,19,Above 5L
SCM3373,1996,93603,,10,15,No Limit
SCM3374,45746,92482,44.44,7,19,2L-5L
SCM3375,38844,98395,156.78,0,5,Below 2L
SCM3376,4011,80181,177.84,1,6,Below 2L
SCM3377,49205,13198,211.42,20,,Above 5L
SCM3378,8440,70860,493.41,48,3,No Limit
SCM3379,17523,90192,155.4,18,19,Above 5L
SCM3380,42450,99192,259.39,41,6,Above 5L
SCM3381,36772,90420,268.08,29,4,Below 2L
SCM3382,4976,18700,385.42,39,4,2L-5L
SCM3383,41177,61475,258.98,24,8,Above 5L
SCM3384,803,24532,302.91,8,13,Above 5L
SCM3385,38338,52448,376.69,41,10,Below 2L
SCM3386,6540,68102,50.66,27,4,Below 2L
SCM3387,32037,13020,,36,0,No Limit
SCM3388,2124,28421,423.17,31,7,Above 5L
SCM3389,15851,3578,194.45,40,2,No Limit
SCM3390,12830,34122,364.24,10,12,No Limit
SCM3391,21480,18035,381.19,49,14,No Limit
SCM3392,29072,33308,425.14,20,16,Above 5L
SCM3393,37213,40000,94.24,23,1,2L-5L
SCM3394,10249,97145,351.88,0,13,No Limit
SCM3395,38502,79808,16.77,15,5,Above 5L
SCM3396,17481,9650,57.88,23,,2L-5L
SCM3397,49657,46725,388.06,9,17,2L-5L
SCM3398,32459,59338,406.52,31,8,Below 2L
SCM3399,43908,19617,296.26,27,17,Above 5L
SCM3400,343,22381,,49,16,No Limit
SCM3401,2514,8146,374.78,32,6,Above 5L
SCM3402,3956,58440,453.05,37,13,No Limit
SCM3403,6363,57804,210.62,21,11,Above 5L
SCM3404,48053,98336,57.5,0,16,Above 5L
SCM3405,15899,42179,,34,12,Above 5L
SCM3406,41492,67109,170.89,44,9,2L-5L
SCM3407,12570,3848,66.98,11,16,2L-5L
SCM3408,13872,22500,307.35,45,0,2L-5L
SCM3409,27482,18547,,24,15,No Limit
SCM3410,34009,59156,237.18,27,14,Above 5L
SCM3411,4226,94927,429.91,16,,No Limit
SCM3412,19508,41489,136.19,15,10,Above 5L
SCM3413,14963,25969,6.72,31,2,Above 5L
SCM3414,13684,4468,,44,12,No Limit
SCM3415,23491,89620,4.95,3,8,Above 5L
SCM3416,19940,30188,271.84,46,7,Below 2L
SCM3417,37065,31294,189.19,40,4,Below 2L
SCM3418,25771,45371,406.99,48,,Above 5L
,38692,31314,398.81,10,6,Below 2L
SCM3420,12197,37576,217.38,19,10,No Limit
SCM3421,18939,52812,108.32,25,10,Above 5L
SCM3422,44983,1669,211.27,6,16,No Limit
SCM3423,17874,74710,,30,4,Below 2L
SCM3424,37793,72627,95.18,6,5,2L-5L
SCM3425,49869,26384,386.55,3,15,2L-5L
SCM3426,2569,27456,165.35,7,7,2L-5L
SCM3427,12568,44615,466.1,13,5,Above 5L
SCM3428,35570,98047,255.98,21,10,Below 2L
SCM3429,39125,49567,423.58,22,4,No Limit
SCM3430,40973,88893,307.98,24,7,2L-5L
,3265,17175,277.35,35,6,2L-5L
SCM3432,11470,94596,341.1,48,7,Above 5L
SCM3433,43351,77271,405.76,25,17,No Limit
SCM3434,47626,19205,322.29,23,6,Above 5L
SCM3435,37298,36096,398.64,17,4,No Limit
SCM3436,42106,36288,95.31,20,5,Below 2L
SCM3437,38860,27695,,46,13,Above 5L
SCM3438,29042,91611,114.94,4,18,No Limit
,45117,44527,399.17,14,9,Below 2L
SCM3440,32309,13219,43.16,30,14,Above 5L
SCM3441,39465,62518,397.95,25,6,Below 2L
SCM3442,1507,69039,194.58,3,7,Below 2L
SCM3443,26076,37757,39.85,3,10,2L-5L
SCM3444,42069,22135,212.27,43,2,2L-5L
,38425,80095,150.32,49,10,Below 2L
SCM3446,15615,55921,296.02,18,14,Below 2L
SCM3447,36274,56756,236.32,25,10,Below 2L
SCM3448,11894,15024,148.46,49,,Above 5L
SCM3449,5800,66488,431.15,32,18,2L-5L
,8227,69154,203.47,3,14,2L-5L
SCM3451,27491,27825,235.4,46,2,Below 2L
SCM3452,10840,42042,423.33,37,9,No Limit
SCM3453,1645,93220,44.62,23,13,No Limit
,23791,73035,195.01,30,4,No Limit
SCM3455,16618,955,201.49,33,18,No Limit
SCM3456,35727,79761,,33,13,Below 2L
SCM3457,28154,12163,53.15,1,,No Limit
SCM3458,13157,37711,51.42,42,9,2L-5L
SCM3459,6103,9908,208.27,7,5,Below 2L
SCM3460,34132,92414,16.61,48,11,Below 2L
,18256,12209,127.57,20,3,No Limit
SCM3462,49416,20249,100.67,11,,No Limit
SCM3463,45480,84210,,35,7,Above 5L
SCM3464,48887,41714,5.68,0,0,No Limit
SCM3465,48445,6736,337.9,41,15,No Limit
SCM3466,27663,22866,427.81,38,1,Below 2L
SCM3467,41679,74798,353.4,15,8,2L-5L
SCM3468,6825,93830,409.06,48,,No Limit
SCM3469,21782,45820,321.69,5,6,No Limit
,27827,85075,253.73,32,1,No Limit
SCM3471,39682,75090,109.59,42,1,Below 2L
SCM3472,16285,64696,139.89,12,12,2L-5L
SCM3473,36840,68874,158.92,44,17,2L-5L
SCM3474,7694,68961,19.11,8,7,Above 5L
SCM3475,49654,64682,456.55,34,5,Above 5L
SCM3476,7299,2632,450.16,27,10,No Limit
SCM3477,39132,73056,53.98,33,12,No Limit
SCM3478,27450,80428,278.39,31,13,No Limit
SCM3479,15974,1415,233.87,0,9,2L-5L
SCM3480,4580,33647,341.74,38,12,Above 5L
SCM3481,30535,53410,301.55,24,19,2L-5L
SCM3482,30220,51578,62.25,9,0,Below 2L
SCM3483,6719,39339,330.07,1,2,Above 5L
SCM3484,2707,41063,304.48,3,13,Below 2L
SCM3485,9482,91048,265.66,24,6,Below 2L
SCM3486,8680,53060,201.26,15,1,2L-5L
SCM3487,19888,68241,477.47,39,6,Below 2L
SCM3488,22126,66231,424.73,43,6,Above 5L
SCM3489,17273,45047,292.58,4,4,No Limit
SCM3490,23380,57829,3.29,22,18,Below 2L
SCM3491,34362,92824,216.12,19,18,Below 2L
SCM3492,47256,64538,350.2,2,19,2L-5L
SCM3493,6810,62999,58.74,0,14,Below 2L
SCM3494,33688,23682,203.33,45,7,2L-5L
SCM3495,12328,40905,95.94,24,7,Above 5L
SCM3496,26155,80190,169.14,15,18,2L-5L
SCM3497,31252,52375,13.43,40,0,Above 5L
SCM3498,20549,6128,63.45,4,5,No Limit
SCM3499,27806,68947,227.43,35,6,No Limit
SCM3500,30566,96518,449.11,5,17,Above 5L
SCM3501,22685,69949,245.34,11,11,2L-5L
SCM3502,44125,15582,226.59,45,3,No Limit
SCM3503,24379,33220,393.81,22,16,Below 2L
SCM3504,11937,5342,133.99,45,13,2L-5L
SCM3505,24309,19955,47.62,37,,No Limit
SCM3506,12320,80370,104.87,4,14,Below 2L
SCM3507,4065,92574,395.67,1,3,2L-5L
SCM3508,45906,12011,338.56,2,13,Below 2L
SCM3509,42376,77294,45.86,40,6,Below 2L
SCM3510,49433,85088,333.58,6,9,Below 2L
SCM3511,38868,86637,465.78,25,10,No Limit
SCM3512,27330,48742,22.57,11,15,Above 5L
SCM3513,23729,12756,308.25,49,17,No Limit
SCM3514,42020,22215,189.64,44,1,Above 5L
SCM3515,27970,14593,250.57,0,3,Above 5L
SCM3516,17473,51599,,0,4,Above 5L
SCM3517,29255,15079,385.55,32,19,No Limit
SCM3518,42785,25327,278.55,38,17,2L-5L
SCM3519,47522,1755,296.58,8,8,2L-5L
SCM3520,33574,40057,166.52,0,15,Below 2L
SCM3521,23136,744,63.06,14,13,2L-5L
SCM3522,4947,12894,341.4,24,5,2L-5L
SCM3523,20814,93945,0.34,43,16,2L-5L
SCM3524,129930,95966,164.43,35,19,2L-5L
SCM3525,4749,29176,109.1,9,17,No Limit
SCM3526,30671,27317,,49,6,No Limit
SCM3527,11713,1721,155.7,30,15,Above 5L
SCM3528,39464,38529,352.14,19,10,Above 5L
SCM3529,24528,38465,130.18,4,16,Below 2L
SCM3530,46806,51025,,27,11,2L-5L
SCM3531,41482,78112,227.94,33,13,Below 2L
SCM3532,22633,1691,400.55,38,19,2L-5L
SCM3533,10206,98507,214.1,37,11,Below 2L
SCM3534,32413,20030,431.95,15,14,No Limit
SCM3535,20494,23617,0.17,14,14,No Limit
SCM3536,12377,79753,302.46,40,5,Below 2L
SCM3537,15548,9590,5,38,7,Below 2L
SCM3538,13233,2960,357,41,19,Above 5L
SCM3539,44242,33315,117.54,25,1,Above 5L
SCM3540,4746,40673,190.05,29,2,Above 5L
SCM3541,13808,13307,190.28,1,12,Below 2L
SCM3542,6190,17572,423.23,2,5,Above 5L
SCM3543,26734,97914,51.14,18,5,Above 5L
SCM3544,26321,20856,333.48,23,17,Below 2L
SCM3545,45652,91378,490.63,2,1,Below 2L
SCM3546,44147,29767,11.29,39,9,Below 2L
SCM3547,15492,45220,482.95,4,19,Below 2L
,43852,75449,9.3,31,,2L-5L
SCM3549,35404,93135,420.59,30,6,2L-5L
SCM3550,19743,38914,480.63,11,11,Above 5L
SCM3551,39747,86376,496.51,42,5,No Limit
,14893,1120,229.61,35,19,Below 2L
SCM3553,31894,51196,433.49,35,9,2L-5L
SCM3554,7538,41890,61.26,30,14,No Limit
SCM3555,18995,14175,212.75,32,11,2L-5L
SCM3556,18574,92060,154.06,6,1,Above 5L
SCM3557,37502,59435,197.65,25,,No Limit
SCM3558,17051,63677,351.02,25,11,Above 5L
SCM3559,16604,55203,43.83,19,15,Below 2L
SCM3560,6868,33585,499.08,33,,Above 5L
SCM3561,8607,76108,317.57,32,16,No Limit
SCM3562,48225,20040,436.77,18,,No Limit
SCM3563,29910,94354,414.86,16,9,Below 2L
