Scheme_ID,Scheme_Name,Launch_Year,Sector,State_Coverage,Status,Scheme_Reach,Enrollment_Deadline
SCM3296,PM Kisan Samman Nidhi,1996,Housing,Tamil Nadu,Inactive,Local,30:21.1
SCM3297,Stand Up India,2001,Entrepreneurship,Telangana,Active,State-level,30:21.1
SCM3298,Beti Bachao Beti Padhao,2003,Housing,Madhya Pradesh,Merged,State-level,30:21.1
SCM3299,Stand Up India,2004,Education,Uttar Pradesh,Inactive,State-level,30:21.1
SCM3300,PM Kisan Samman Nidhi,1992,Entrepreneurship,Bihar,Active,Pan-India,30:21.0
SCM3301,Swachh Bharat Abhiyan,2004,Employment,West Bengal,Merged,Pan-India,30:21.0
SCM3302,Beti Bachao Beti Padhao,2013,Health,Rajasthan,Inactive,State-level,30:21.1
SCM3303,National Health Mission,1997,Entrepreneurship,West Bengal,Active,Pan-India,30:21.0
SCM3304,Mahatma Gandhi National Rural Employment Guarantee Act,1994,Manufacturing,Karnataka,Active,Local,30:21.0
SCM3305,Ayushman Bharat,1993,,Uttar Pradesh,Merged,Pan-India,30:21.1
,Beti Bachao Beti Padhao,2003,Health,Karnataka,Merged,State-level,30:21.1
SCM3307,Ujjwala Yojana,2005,Health,Uttar Pradesh,Inactive,Local,30:21.1
SCM3308,Pradhan Mantri Awas Yojana,2009,Housing,Uttar Pradesh,Revamped,Local,30:21.1
SCM3309,Jan Dhan Yojana,2013,Entrepreneurship,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM3310,Ayushman Bharat,1995,Education,Uttar Pradesh,Merged,State-level,30:21.1
SCM3311,Skill India,2020,Technology,Madhya Pradesh,Active,State-level,30:21.1
SCM3312,Digital India,1995,Health,West Bengal,Inactive,Pan-India,30:21.0
SCM3313,Sarva Shiksha Abhiyan,2024,,Bihar,Revamped,State-level,Open
SCM3314,Smart Cities Mission,2004,Women Empowerment,West Bengal,Revamped,Pan-India,30:21.1
SCM3315,Make in India,2018,Education,Maharashtra,Merged,State-level,30:21.0
SCM3316,Smart Cities Mission,1992,Women Empowerment,Madhya Pradesh,Revamped,Local,30:21.0
SCM3317,Ujjwala Yojana,2000,Women Empowerment,Karnataka,Revamped,Pan-India,30:21.0
SCM3318,Jan Dhan Yojana,1992,Education,Telangana,Active,Pan-India,30:21.1
SCM3319,Beti Bachao Beti Padhao,2017,Manufacturing,Telangana,Active,Pan-India,30:21.1
SCM3320,Swachh Bharat Abhiyan,1999,Technology,Uttar Pradesh,Active,State-level,30:21.0
SCM3321,Startup India,2022,Manufacturing,Gujarat,Merged,State-level,30:21.0
SCM3322,Make in India,2005,Housing,Tamil Nadu,Revamped,Pan-India,30:21.1
SCM3323,Beti Bachao Beti Padhao,1999,Women Empowerment,Tamil Nadu,Active,Local,30:21.1
SCM3324,Swachh Bharat Abhiyan,2022,Employment,Bihar,Inactive,Local,30:21.1
SCM3325,Stand Up India,1992,Technology,Telangana,Revamped,State-level,30:21.0
SCM3326,Stand Up India,1994,Entrepreneurship,Madhya Pradesh,Inactive,Pan-India,30:21.1
SCM3327,AMRUT,2001,,Karnataka,Revamped,Pan-India,30:21.0
SCM3328,PM Kisan Samman Nidhi,2002,Entrepreneurship,Bihar,Inactive,Pan-India,30:21.1
,Beti Bachao Beti Padhao,2013,Education,Maharashtra,Inactive,State-level,30:21.1
SCM3330,Sarva Shiksha Abhiyan,2021,,Rajasthan,Merged,State-level,30:21.0
SCM3331,Jan Dhan Yojana,2005,Technology,Rajasthan,Inactive,Pan-India,30:21.1
SCM3332,Skill India,2021,Housing,Uttar Pradesh,Active,Pan-India,Open
SCM3333,Ujjwala Yojana,2010,Women Empowerment,Rajasthan,Active,Pan-India,30:21.0
SCM3334,Mahatma Gandhi National Rural Employment Guarantee Act,2001,Women Empowerment,Rajasthan,Revamped,State-level,30:21.1
SCM3335,Digital India,2010,Entrepreneurship,Bihar,Active,Local,30:21.1
SCM3336,AMRUT,2010,Housing,Gujarat,Merged,Pan-India,30:21.1
SCM3337,Ayushman Bharat,1995,,Telangana,Active,Pan-India,30:21.0
SCM3338,Saubhagya Yojana,1998,Technology,Telangana,Merged,Local,30:21.1
SCM3339,Ayushman Bharat,1990,Entrepreneurship,Bihar,Active,Local,30:21.0
SCM3340,Sarva Shiksha Abhiyan,2001,Entrepreneurship,Karnataka,Merged,Pan-India,30:21.1
SCM3341,Smart Cities Mission,2003,Technology,Madhya Pradesh,Revamped,Pan-India,30:21.1
SCM3342,Beti Bachao Beti Padhao,1995,Technology,Tamil Nadu,Revamped,Local,30:21.0
SCM3343,Skill India,1990,Health,Maharashtra,Active,Local,30:21.1
SCM3344,Pradhan Mantri Awas Yojana,2011,Education,Rajasthan,Revamped,Pan-India,30:21.1
SCM3345,Pradhan Mantri Awas Yojana,2023,Education,Karnataka,Revamped,Local,30:21.1
SCM3346,Beti Bachao Beti Padhao,2000,Technology,Tamil Nadu,Revamped,Local,30:21.0
SCM3347,Make in India,1992,Manufacturing,Karnataka,Active,State-level,30:21.0
SCM3348,AMRUT,1995,Housing,Gujarat,Merged,State-level,30:21.0
SCM3349,Smart Cities Mission,1995,Women Empowerment,Telangana,Active,Local,30:21.0
,Make in India,2009,Education,Maharashtra,Inactive,Local,30:21.0
SCM3351,Startup India,2010,Employment,Telangana,Merged,Pan-India,30:21.0
SCM3352,Skill India,1991,Technology,Rajasthan,Inactive,Pan-India,30:21.1
SCM3353,PM Kisan Samman Nidhi,2015,Technology,Telangana,Inactive,Local,30:21.0
SCM3354,Swachh Bharat Abhiyan,2020,Health,Madhya Pradesh,Revamped,State-level,30:21.0
SCM3355,Ujjwala Yojana,2015,Technology,Karnataka,Merged,State-level,30:21.1
SCM3356,Smart Cities Mission,2021,Health,Bihar,Merged,State-level,30:21.1
SCM3357,PM Kisan Samman Nidhi,1999,Manufacturing,Uttar Pradesh,Inactive,Local,30:21.1
SCM3358,AMRUT,2012,Manufacturing,Telangana,Inactive,Pan-India,30:21.0
,Pradhan Mantri Awas Yojana,1995,Technology,Telangana,Revamped,State-level,30:21.0
,Saubhagya Yojana,2012,Housing,Bihar,Revamped,Local,30:21.0
SCM3361,Saubhagya Yojana,2017,Health,West Bengal,Active,Pan-India,30:21.1
SCM3362,Mahatma Gandhi National Rural Employment Guarantee Act,2019,Health,Gujarat,Merged,Local,30:21.1
SCM3363,Startup India,2003,Employment,Uttar Pradesh,Inactive,Pan-India,30:21.1
SCM3364,Skill India,2021,Housing,West Bengal,Active,Local,30:21.0
,Make in India,2023,Housing,Gujarat,Revamped,Pan-India,30:21.0
SCM3366,Ayushman Bharat,2011,Education,West Bengal,Inactive,Pan-India,30:21.1
SCM3367,Pradhan Mantri Awas Yojana,2020,Manufacturing,Tamil Nadu,Merged,Pan-India,30:21.0
SCM3368,Startup India,1996,Education,Madhya Pradesh,Inactive,Local,30:21.0
SCM3369,Mahatma Gandhi National Rural Employment Guarantee Act,2010,,Uttar Pradesh,Inactive,State-level,30:21.0
,Make in India,2005,,Maharashtra,Active,State-level,30:21.0
SCM3371,Ayushman Bharat,2009,Technology,Uttar Pradesh,Inactive,Local,30:21.0
SCM3372,Swachh Bharat Abhiyan,2008,Employment,Tamil Nadu,Active,Pan-India,30:21.1
SCM3373,Skill India,2021,Technology,Maharashtra,Active,Pan-India,30:21.1
SCM3374,Sarva Shiksha Abhiyan,2004,Technology,Bihar,Revamped,Pan-India,30:21.0
SCM3375,Skill India,1994,,Maharashtra,Inactive,State-level,30:21.0
SCM3376,Ujjwala Yojana,2000,Education,West Bengal,Active,Pan-India,30:21.0
SCM3377,Smart Cities Mission,2004,Entrepreneurship,Madhya Pradesh,Inactive,State-level,30:21.1
SCM3378,Mahatma Gandhi National Rural Employment Guarantee Act,2018,Technology,Bihar,Merged,State-level,30:21.1
SCM3379,Stand Up India,1993,,Bihar,Inactive,Pan-India,30:21.1
SCM3380,Ujjwala Yojana,2012,Entrepreneurship,Madhya Pradesh,Revamped,Local,30:21.0
SCM3381,Ujjwala Yojana,2004,Employment,Gujarat,Active,Local,30:21.0
SCM3382,Swachh Bharat Abhiyan,1992,Manufacturing,Gujarat,Active,State-level,30:21.1
SCM3383,Mahatma Gandhi National Rural Employment Guarantee Act,2021,Health,Bihar,Merged,Local,30:21.0
SCM3384,Ayushman Bharat,1999,Housing,Uttar Pradesh,Revamped,Pan-India,30:21.0
SCM3385,Ujjwala Yojana,2011,Education,Karnataka,Active,Pan-India,30:21.1
SCM3386,AMRUT,2003,Women Empowerment,Gujarat,Merged,State-level,30:21.0
SCM3387,Pradhan Mantri Awas Yojana,2006,Manufacturing,Madhya Pradesh,Active,Pan-India,30:21.0
SCM3388,Ayushman Bharat,2010,Education,Rajasthan,Active,Local,30:21.1
SCM3389,Mahatma Gandhi National Rural Employment Guarantee Act,2004,Manufacturing,Madhya Pradesh,Revamped,Pan-India,30:21.0
SCM3390,Swachh Bharat Abhiyan,2004,Housing,West Bengal,Merged,State-level,30:21.0
SCM3391,Stand Up India,1990,Health,Bihar,Active,State-level,30:21.1
SCM3392,Sarva Shiksha Abhiyan,2013,Housing,Gujarat,Inactive,Local,30:21.1
SCM3393,Smart Cities Mission,2001,Health,Telangana,Merged,Local,30:21.1
SCM3394,AMRUT,1999,Education,Uttar Pradesh,Revamped,Local,30:21.1
SCM3395,National Health Mission,2020,Employment,Gujarat,Revamped,State-level,30:21.1
SCM3396,Make in India,2000,Health,Tamil Nadu,Revamped,Pan-India,30:21.1
SCM3397,Ujjwala Yojana,2005,Women Empowerment,West Bengal,Active,Pan-India,30:21.1
SCM3398,Smart Cities Mission,1998,Manufacturing,West Bengal,Revamped,State-level,30:21.0
SCM3399,Stand Up India,2003,Employment,Maharashtra,Merged,State-level,30:21.0
SCM3400,Ayushman Bharat,2008,Education,Telangana,Active,Local,30:21.1
SCM3401,Pradhan Mantri Awas Yojana,2020,Entrepreneurship,West Bengal,Inactive,Pan-India,30:21.0
SCM3402,AMRUT,1998,Employment,Telangana,Revamped,State-level,30:21.0
SCM3403,Mahatma Gandhi National Rural Employment Guarantee Act,2015,Health,Bihar,Revamped,State-level,30:21.1
SCM3404,Mahatma Gandhi National Rural Employment Guarantee Act,1997,Women Empowerment,Madhya Pradesh,Revamped,State-level,30:21.1
SCM3405,Ayushman Bharat,2013,Employment,Madhya Pradesh,Inactive,State-level,30:21.1
SCM3406,Beti Bachao Beti Padhao,1997,Women Empowerment,Karnataka,Active,Pan-India,Open
SCM3407,Stand Up India,2008,Women Empowerment,Bihar,Revamped,Pan-India,30:21.1
SCM3408,Digital India,2019,Education,Bihar,Inactive,State-level,30:21.0
SCM3409,Skill India,2011,Employment,Telangana,Active,Local,30:21.0
SCM3410,Swachh Bharat Abhiyan,1998,Education,Rajasthan,Merged,Local,30:21.0
SCM3411,Pradhan Mantri Awas Yojana,1993,Entrepreneurship,Gujarat,Revamped,Pan-India,30:21.1
SCM3412,Beti Bachao Beti Padhao,1997,Health,Bihar,Active,State-level,30:21.1
SCM3413,Ayushman Bharat,1990,Technology,Gujarat,Revamped,Local,30:21.1
SCM3414,Startup India,2017,Manufacturing,Karnataka,Inactive,Local,30:21.0
SCM3415,Stand Up India,1995,,Gujarat,Active,State-level,30:21.0
SCM3416,Skill India,2000,,Uttar Pradesh,Inactive,State-level,30:21.1
SCM3417,Stand Up India,1994,Housing,Uttar Pradesh,Revamped,Local,30:21.1
SCM3418,Ayushman Bharat,2013,Manufacturing,Rajasthan,Merged,State-level,30:21.0
,PM Kisan Samman Nidhi,2007,Employment,Madhya Pradesh,Inactive,Pan-India,30:21.1
SCM3420,PM Kisan Samman Nidhi,2009,Manufacturing,Rajasthan,Active,Pan-India,30:21.1
SCM3421,Startup India,2017,Technology,West Bengal,Active,Pan-India,30:21.1
SCM3422,Ujjwala Yojana,2002,Housing,Tamil Nadu,Revamped,Pan-India,30:21.1
SCM3423,National Health Mission,1994,Manufacturing,Madhya Pradesh,Active,Pan-India,30:21.0
SCM3424,Digital India,2019,Technology,Bihar,Revamped,Local,30:21.1
SCM3425,Swachh Bharat Abhiyan,1990,Manufacturing,Rajasthan,Inactive,Pan-India,30:21.1
SCM3426,Ayushman Bharat,2011,,Maharashtra,Merged,Pan-India,30:21.1
SCM3427,Saubhagya Yojana,2007,Women Empowerment,Tamil Nadu,Inactive,Pan-India,Open
SCM3428,Stand Up India,1994,Housing,Tamil Nadu,Inactive,Local,30:21.1
SCM3429,Sarva Shiksha Abhiyan,2020,Housing,Telangana,Revamped,State-level,30:21.1
SCM3430,Pradhan Mantri Awas Yojana,1995,Women Empowerment,Karnataka,Merged,State-level,30:21.1
,Skill India,2016,Women Empowerment,Tamil Nadu,Inactive,Local,30:21.1
SCM3432,Mahatma Gandhi National Rural Employment Guarantee Act,2014,Entrepreneurship,Bihar,Revamped,State-level,30:21.0
SCM3433,PM Kisan Samman Nidhi,2018,Education,Maharashtra,Inactive,Pan-India,Open
SCM3434,Skill India,2017,Education,Uttar Pradesh,Inactive,Pan-India,30:21.0
SCM3435,PM Kisan Samman Nidhi,2005,Technology,Rajasthan,Active,State-level,30:21.0
SCM3436,Startup India,2001,,Bihar,Inactive,Local,30:21.0
SCM3437,Beti Bachao Beti Padhao,2009,Technology,Rajasthan,Merged,Pan-India,30:21.1
SCM3438,Ayushman Bharat,2007,Education,Maharashtra,Inactive,Local,30:21.1
,PM Kisan Samman Nidhi,2023,Manufacturing,Rajasthan,Revamped,State-level,30:21.1
SCM3440,National Health Mission,2012,Housing,Gujarat,Active,Local,30:21.0
SCM3441,Beti Bachao Beti Padhao,2016,Women Empowerment,Maharashtra,Revamped,Local,30:21.0
SCM3442,PM Kisan Samman Nidhi,2006,Employment,Maharashtra,Merged,Local,30:21.1
SCM3443,Skill India,2010,Housing,Uttar Pradesh,Inactive,Local,30:21.0
SCM3444,AMRUT,2020,Women Empowerment,Gujarat,Inactive,Local,Open
,PM Kisan Samman Nidhi,1992,Housing,Tamil Nadu,Active,State-level,30:21.0
SCM3446,Ayushman Bharat,2006,Education,Tamil Nadu,Inactive,Local,30:21.0
SCM3447,Jan Dhan Yojana,2015,Technology,Gujarat,Revamped,Pan-India,30:21.0
SCM3448,Swachh Bharat Abhiyan,2012,Health,Bihar,Revamped,Pan-India,30:21.1
SCM3449,Saubhagya Yojana,1995,Manufacturing,Maharashtra,Active,Pan-India,30:21.1
,Digital India,2017,Women Empowerment,Uttar Pradesh,Inactive,State-level,30:21.1
SCM3451,PM Kisan Samman Nidhi,1997,Women Empowerment,Madhya Pradesh,Active,Local,30:21.1
SCM3452,Swachh Bharat Abhiyan,1997,Women Empowerment,Madhya Pradesh,Merged,Pan-India,30:21.0
SCM3453,Stand Up India,2008,Education,Gujarat,Inactive,State-level,30:21.1
,PM Kisan Samman Nidhi,2018,Technology,Gujarat,Inactive,Local,30:21.1
SCM3455,Skill India,2012,Technology,Madhya Pradesh,Inactive,Pan-India,30:21.1
SCM3456,Startup India,2021,Manufacturing,Uttar Pradesh,Merged,Pan-India,30:21.0
SCM3457,Beti Bachao Beti Padhao,1999,Technology,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM3458,National Health Mission,2016,,Maharashtra,Merged,Local,30:21.1
SCM3459,Swachh Bharat Abhiyan,1990,Employment,Gujarat,Revamped,Local,30:21.1
SCM3460,Pradhan Mantri Awas Yojana,2018,Women Empowerment,Gujarat,Active,Pan-India,30:21.1
,PM Kisan Samman Nidhi,1992,Entrepreneurship,Gujarat,Revamped,Pan-India,30:21.1
SCM3462,Smart Cities Mission,2020,Health,Uttar Pradesh,Merged,State-level,30:21.1
SCM3463,Ayushman Bharat,2000,Employment,Rajasthan,Revamped,Local,30:21.1
SCM3464,Swachh Bharat Abhiyan,2011,Employment,Karnataka,Revamped,Pan-India,30:21.0
SCM3465,PM Kisan Samman Nidhi,2007,,Maharashtra,Active,Local,30:21.1
SCM3466,Swachh Bharat Abhiyan,2024,Manufacturing,Maharashtra,Merged,Pan-India,30:21.0
SCM3467,Startup India,1995,Health,Bihar,Revamped,State-level,30:21.1
SCM3468,Startup India,1992,Manufacturing,Karnataka,Revamped,Pan-India,30:21.0
SCM3469,Beti Bachao Beti Padhao,1994,Entrepreneurship,Madhya Pradesh,Inactive,Pan-India,30:21.1
,Mahatma Gandhi National Rural Employment Guarantee Act,1998,Technology,Telangana,Inactive,State-level,30:21.0
SCM3471,Swachh Bharat Abhiyan,2017,Manufacturing,Rajasthan,Merged,State-level,30:21.1
SCM3472,PM Kisan Samman Nidhi,2008,Housing,Uttar Pradesh,Revamped,Pan-India,30:21.0
SCM3473,Swachh Bharat Abhiyan,2017,Manufacturing,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM3474,AMRUT,2016,Technology,Tamil Nadu,Active,State-level,30:21.1
SCM3475,National Health Mission,2002,Housing,Uttar Pradesh,Merged,State-level,30:21.1
SCM3476,AMRUT,2010,Employment,West Bengal,Merged,Pan-India,30:21.0
SCM3477,Ujjwala Yojana,2016,Entrepreneurship,Telangana,Revamped,Pan-India,30:21.1
SCM3478,Ayushman Bharat,1995,Technology,Rajasthan,Active,Local,Open
SCM3479,Smart Cities Mission,2000,Education,Uttar Pradesh,Merged,Pan-India,30:21.0
SCM3480,PM Kisan Samman Nidhi,2006,Housing,Bihar,Inactive,State-level,30:21.0
SCM3481,Sarva Shiksha Abhiyan,1996,Entrepreneurship,Maharashtra,Active,Local,30:21.1
SCM3482,Make in India,2019,Manufacturing,Uttar Pradesh,Revamped,Local,30:21.1
SCM3483,AMRUT,2010,Education,Rajasthan,Inactive,Pan-India,30:21.1
SCM3484,Make in India,1990,Manufacturing,West Bengal,Active,State-level,30:21.1
SCM3485,Ayushman Bharat,2014,Technology,Maharashtra,Revamped,Local,30:21.0
SCM3486,Ujjwala Yojana,2021,Employment,Tamil Nadu,Revamped,Local,30:21.1
SCM3487,Pradhan Mantri Awas Yojana,1997,Technology,Madhya Pradesh,Active,Pan-India,30:21.0
SCM3488,Swachh Bharat Abhiyan,1994,Women Empowerment,West Bengal,Active,Local,30:21.1
SCM3489,Swachh Bharat Abhiyan,2019,Technology,Uttar Pradesh,Active,State-level,30:21.1
SCM3490,Startup India,1997,Technology,Bihar,Revamped,State-level,30:21.1
SCM3491,Ayushman Bharat,2008,Manufacturing,Maharashtra,Inactive,Local,30:21.0
SCM3492,National Health Mission,2019,Housing,Maharashtra,Inactive,Local,30:21.1
SCM3493,Mahatma Gandhi National Rural Employment Guarantee Act,2004,,Telangana,Revamped,Pan-India,30:21.0
SCM3494,Pradhan Mantri Awas Yojana,2016,Entrepreneurship,West Bengal,Active,Local,30:21.0
SCM3495,Beti Bachao Beti Padhao,2002,Employment,Bihar,Revamped,Pan-India,30:21.1
SCM3496,Saubhagya Yojana,2003,Women Empowerment,Gujarat,Revamped,Local,30:21.0
SCM3497,Stand Up India,2019,Entrepreneurship,West Bengal,Revamped,Local,30:21.1
SCM3498,Beti Bachao Beti Padhao,2002,Health,Gujarat,Revamped,Local,30:21.1
SCM3499,Ujjwala Yojana,2005,Housing,Gujarat,Inactive,Pan-India,30:21.0
SCM3500,Ujjwala Yojana,1996,Women Empowerment,Bihar,Active,Local,30:21.0
SCM3501,PM Kisan Samman Nidhi,2016,Housing,Bihar,Revamped,Pan-India,30:21.0
SCM3502,Stand Up India,2024,Entrepreneurship,West Bengal,Revamped,Local,30:21.1
SCM3503,Stand Up India,2004,Manufacturing,Tamil Nadu,Active,Pan-India,30:21.1
SCM3504,Swachh Bharat Abhiyan,2017,Education,Maharashtra,Active,State-level,30:21.0
SCM3505,Beti Bachao Beti Padhao,2024,Manufacturing,Gujarat,Revamped,Pan-India,30:21.0
SCM3506,Skill India,1996,Health,Rajasthan,Revamped,Pan-India,30:21.1
SCM3507,Startup India,2009,Entrepreneurship,Rajasthan,Active,State-level,30:21.0
SCM3508,Digital India,2021,Health,Maharashtra,Active,Pan-India,30:21.1
SCM3509,Startup India,2021,Entrepreneurship,Gujarat,Inactive,State-level,Open
SCM3510,Ujjwala Yojana,2015,Health,Madhya Pradesh,Revamped,State-level,30:21.1
SCM3511,Saubhagya Yojana,2009,Entrepreneurship,Karnataka,Merged,State-level,30:21.1
SCM3512,Ayushman Bharat,2007,Housing,Maharashtra,Active,Local,30:21.1
SCM3513,Ujjwala Yojana,2004,Women Empowerment,Rajasthan,Active,State-level,Open
SCM3514,Mahatma Gandhi National Rural Employment Guarantee Act,2011,Health,Tamil Nadu,Inactive,Local,30:21.0
SCM3515,Mahatma Gandhi National Rural Employment Guarantee Act,2011,Health,West Bengal,Inactive,Local,30:21.1
SCM3516,Swachh Bharat Abhiyan,2010,Women Empowerment,Uttar Pradesh,Merged,State-level,30:21.0
SCM3517,Pradhan Mantri Awas Yojana,1991,Entrepreneurship,Rajasthan,Active,State-level,30:21.0
SCM3518,Beti Bachao Beti Padhao,2007,Employment,Maharashtra,Revamped,Pan-India,Open
SCM3519,Skill India,2012,Employment,Tamil Nadu,Revamped,State-level,30:21.1
SCM3520,Skill India,2002,Housing,Madhya Pradesh,Revamped,Pan-India,30:21.1
SCM3521,Sarva Shiksha Abhiyan,1998,Manufacturing,Rajasthan,Inactive,State-level,30:21.1
SCM3522,National Health Mission,1996,Manufacturing,Rajasthan,Merged,State-level,30:21.0
SCM3523,Ujjwala Yojana,1990,Housing,Rajasthan,Merged,Pan-India,30:21.0
SCM3524,Skill India,1991,,West Bengal,Merged,State-level,30:21.0
SCM3525,Beti Bachao Beti Padhao,1993,Women Empowerment,Telangana,Active,State-level,Open
SCM3526,Jan Dhan Yojana,2003,Education,Karnataka,Active,Local,30:21.1
SCM3527,Pradhan Mantri Awas Yojana,2021,Women Empowerment,Telangana,Merged,State-level,30:21.1
SCM3528,Saubhagya Yojana,1991,Education,Rajasthan,Merged,Pan-India,30:21.0
SCM3529,National Health Mission,2003,Education,Madhya Pradesh,Merged,Pan-India,30:21.0
SCM3530,Ayushman Bharat,2009,Technology,Rajasthan,Inactive,State-level,30:21.1
SCM3531,Beti Bachao Beti Padhao,2014,Technology,Gujarat,Merged,State-level,30:21.1
SCM3532,PM Kisan Samman Nidhi,1997,Education,Bihar,Revamped,State-level,30:21.0
SCM3533,Ayushman Bharat,2017,Entrepreneurship,Gujarat,Active,State-level,30:21.1
SCM3534,AMRUT,2010,Employment,West Bengal,Revamped,Local,30:21.1
SCM3535,Saubhagya Yojana,2012,Housing,Gujarat,Active,Pan-India,30:21.0
SCM3536,National Health Mission,2021,Women Empowerment,Telangana,Inactive,Local,30:21.1
SCM3537,Saubhagya Yojana,1997,Entrepreneurship,Tamil Nadu,Inactive,Pan-India,30:21.1
SCM3538,Skill India,2020,Education,Gujarat,Revamped,State-level,30:21.1
SCM3539,National Health Mission,2005,Housing,Tamil Nadu,Inactive,Pan-India,30:21.0
SCM3540,PM Kisan Samman Nidhi,2016,Employment,West Bengal,Active,Pan-India,30:21.1
SCM3541,National Health Mission,2007,Manufacturing,Gujarat,Inactive,State-level,30:21.1
SCM3542,Beti Bachao Beti Padhao,2024,Entrepreneurship,Maharashtra,Revamped,Pan-India,30:21.1
SCM3543,Smart Cities Mission,2004,Employment,Gujarat,Inactive,Local,30:21.0
SCM3544,Pradhan Mantri Awas Yojana,2016,Housing,Gujarat,Merged,Local,30:21.0
SCM3545,Digital India,2006,Health,Maharashtra,Active,Pan-India,30:21.1
SCM3546,National Health Mission,1991,Entrepreneurship,Rajasthan,Inactive,State-level,30:21.1
SCM3547,Jan Dhan Yojana,2020,Women Empowerment,Telangana,Active,State-level,Open
,Smart Cities Mission,2023,Technology,West Bengal,Revamped,Local,30:21.0
SCM3549,Swachh Bharat Abhiyan,2023,,Madhya Pradesh,Merged,Pan-India,30:21.0
SCM3550,Swachh Bharat Abhiyan,1992,Women Empowerment,West Bengal,Active,State-level,30:21.1
SCM3551,Make in India,2006,,Telangana,Merged,Local,Open
,National Health Mission,2003,Technology,West Bengal,Merged,Pan-India,30:21.1
SCM3553,Swachh Bharat Abhiyan,2003,Employment,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM3554,National Health Mission,2024,Women Empowerment,Tamil Nadu,Inactive,State-level,30:21.0
SCM3555,Digital India,1990,Women Empowerment,Tamil Nadu,Inactive,Local,30:21.0
SCM3556,Swachh Bharat Abhiyan,2018,Housing,Telangana,Revamped,Local,30:21.0
SCM3557,Digital India,1993,Entrepreneurship,Telangana,Inactive,State-level,30:21.1
SCM3558,Saubhagya Yojana,2022,Education,Madhya Pradesh,Revamped,Pan-India,30:21.1
SCM3559,Smart Cities Mission,2006,Technology,Karnataka,Revamped,State-level,30:21.1
SCM3560,PM Kisan Samman Nidhi,2017,Entrepreneurship,Maharashtra,Merged,State-level,30:21.0
SCM3561,Smart Cities Mission,2015,Technology,Rajasthan,Active,Local,30:21.1
SCM3562,Saubhagya Yojana,1997,Housing,Bihar,Inactive,Local,30:21.0
SCM3563,PM Kisan Samman Nidhi,2023,Employment,Gujarat,Active,Pan-India,30:21.1
SCM3564,Saubhagya Yojana,2007,Entrepreneurship,Uttar Pradesh,Revamped,Pan-India,30:21.1
SCM3565,Pradhan Mantri Awas Yojana,2020,Health,Uttar Pradesh,Revamped,State-level,30:21.1
SCM3566,Beti Bachao Beti Padhao,2016,Education,Maharashtra,Revamped,State-level,Open
SCM3567,Ujjwala Yojana,2005,Technology,Gujarat,Merged,State-level,30:21.0
SCM3568,Ujjwala Yojana,1999,Manufacturing,Madhya Pradesh,Active,Pan-India,30:21.1
SCM3569,Beti Bachao Beti Padhao,2001,Employment,Maharashtra,Merged,State-level,30:21.0
SCM3570,Beti Bachao Beti Padhao,2011,Employment,Maharashtra,Active,Local,30:21.1
SCM3571,Saubhagya Yojana,2005,Manufacturing,Maharashtra,Merged,State-level,30:21.0
SCM3572,Ujjwala Yojana,2001,Manufacturing,Telangana,Revamped,Pan-India,30:21.0
SCM3573,AMRUT,2000,Entrepreneurship,West Bengal,Inactive,Pan-India,30:21.1
SCM3574,Pradhan Mantri Awas Yojana,2009,Housing,Rajasthan,Merged,Local,30:21.0
SCM3575,Saubhagya Yojana,1990,Housing,Tamil Nadu,Merged,Pan-India,30:21.1
SCM3576,Digital India,2016,Health,Maharashtra,Inactive,Local,30:21.1
SCM3577,Make in India,1992,Education,Maharashtra,Inactive,State-level,30:21.0
SCM3578,Beti Bachao Beti Padhao,2001,Technology,Telangana,Merged,State-level,30:21.0
SCM3579,PM Kisan Samman Nidhi,2019,Housing,Karnataka,Revamped,Local,30:21.1
SCM3580,Saubhagya Yojana,1998,Women Empowerment,West Bengal,Revamped,Local,Open
SCM3581,Stand Up India,1990,Health,West Bengal,Inactive,Pan-India,30:21.0
SCM3582,National Health Mission,1993,Health,Bihar,Merged,State-level,Open
SCM3583,Stand Up India,2004,Employment,Bihar,Active,Pan-India,30:21.1
SCM3584,Sarva Shiksha Abhiyan,2016,Employment,Bihar,Inactive,State-level,30:21.1
SCM3585,Sarva Shiksha Abhiyan,1997,Education,Madhya Pradesh,Active,Pan-India,30:21.0
SCM3586,Mahatma Gandhi National Rural Employment Guarantee Act,2012,,Bihar,Inactive,State-level,30:21.1
SCM3587,Startup India,2004,Women Empowerment,Madhya Pradesh,Merged,Pan-India,30:21.0
SCM3588,Pradhan Mantri Awas Yojana,2016,Manufacturing,Madhya Pradesh,Revamped,State-level,30:21.1
SCM3589,Startup India,2020,Manufacturing,Madhya Pradesh,Inactive,Local,30:21.1
,Sarva Shiksha Abhiyan,1997,Education,Madhya Pradesh,Active,Local,30:21.1
SCM3591,Make in India,2019,Health,West Bengal,Merged,Local,30:21.1
SCM3592,Stand Up India,2007,Education,Telangana,Merged,Pan-India,30:21.1
SCM3593,Beti Bachao Beti Padhao,1993,Manufacturing,Karnataka,Merged,State-level,30:21.0
