Scheme_ID,Target_Age_Group,Target_Gender,Caste_Eligibility,Income_Criteria
SCM3051,18-25,Male,SC,No Limit
SCM3052,26-40,All,All,No Limit
SCM3053,60+,Male,All,Above 5L
SCM3054,26-40,Male,All,Above 5L
SCM3055,18-25,Female,All,2L-5L
SCM3056,18-25,Male,ST,2L-5L
SCM3057,41-60,Male,ST,No Limit
SCM3058,18-25,Female,All,Above 5L
SCM3059,41-60,Male,General,Below 2L
SCM3060,18-25,All,All,No Limit
SCM3061,18-25,All,OBC,Above 5L
SCM3062,41-60,All,All,Above 5L
SCM3063,41-60,All,OBC,2L-5L
SCM3064,18-25,All,ST,2L-5L
SCM3065,18-25,All,SC,2L-5L
SCM3066,18-25,Female,ST,Above 5L
SCM3067,60+,Male,ST,Above 5L
SCM3068,41-60,Male,All,2L-5L
SCM3069,41-60,All,General,Below 2L
SCM3070,41-60,Female,ST,Above 5L
SCM3071,18-25,Female,All,2L-5L
SCM3072,26-40,Male,OBC,Above 5L
SCM3073,60+,Female,General,No Limit
SCM3074,60+,Female,SC,2L-5L
SCM3075,60+,Male,ST,Above 5L
SCM3076,18-25,Male,General,2L-5L
SCM3077,41-60,Female,All,Above 5L
SCM3078,26-40,Female,General,2L-5L
SCM3079,41-60,Female,ST,Above 5L
SCM3080,26-40,All,OBC,Above 5L
SCM3081,26-40,Male,General,No Limit
SCM3082,41-60,Male,OBC,Below 2L
SCM3083,41-60,All,SC,Above 5L
SCM3084,60+,Male,All,Below 2L
SCM3085,41-60,Female,All,Below 2L
SCM3086,26-40,Female,All,Above 5L
SCM3087,18-25,Female,All,Below 2L
SCM3088,18-25,All,OBC,No Limit
SCM3089,26-40,Male,OBC,No Limit
SCM3090,26-40,Female,SC,Above 5L
SCM3091,18-25,Male,SC,Below 2L
SCM3092,18-25,Female,SC,Above 5L
SCM3093,18-25,All,OBC,2L-5L
SCM3094,18-25,All,General,Above 5L
SCM3095,41-60,Male,SC,Above 5L
SCM3096,60+,All,ST,Below 2L
SCM3097,60+,Male,SC,2L-5L
SCM3098,18-25,Male,OBC,Above 5L
SCM3099,60+,Female,General,No Limit
SCM3100,18-25,All,SC,2L-5L
SCM3101,41-60,All,General,2L-5L
SCM3102,60+,Male,SC,Below 2L
SCM3103,60+,Male,All,No Limit
SCM3104,41-60,Male,SC,2L-5L
SCM3105,60+,Female,OBC,No Limit
SCM3106,18-25,Male,SC,Below 2L
SCM3107,18-25,Male,ST,2L-5L
SCM3108,18-25,Female,ST,Below 2L
SCM3109,26-40,Female,All,2L-5L
SCM3110,26-40,All,SC,No Limit
SCM3111,41-60,Male,All,2L-5L
SCM3112,41-60,Female,All,Below 2L
SCM3113,41-60,Female,OBC,Above 5L
SCM3114,60+,Female,ST,2L-5L
SCM3115,18-25,Female,SC,No Limit
SCM3116,26-40,Female,OBC,Below 2L
SCM3117,41-60,Female,OBC,Below 2L
SCM3118,26-40,Male,OBC,2L-5L
SCM3119,60+,All,General,No Limit
SCM3120,60+,Male,General,2L-5L
SCM3121,18-25,Male,SC,Above 5L
SCM3122,41-60,All,General,Above 5L
SCM3123,18-25,All,General,Above 5L
SCM3124,41-60,Female,ST,2L-5L
,18-25,All,General,2L-5L
SCM3126,26-40,Male,ST,2L-5L
SCM3127,26-40,Male,General,2L-5L
SCM3128,60+,All,OBC,Below 2L
SCM3129,60+,All,OBC,No Limit
SCM3130,18-25,Female,All,2L-5L
SCM3131,60+,Female,OBC,Above 5L
SCM3132,60+,All,ST,Below 2L
SCM3133,41-60,Male,ST,Below 2L
SCM3134,18-25,Female,ST,2L-5L
,18-25,Female,General,Above 5L
SCM3136,60+,Male,SC,2L-5L
SCM3137,18-25,All,All,Below 2L
SCM3138,60+,All,OBC,2L-5L
SCM3139,60+,All,All,Above 5L
SCM3140,60+,Female,General,Above 5L
SCM3141,18-25,Male,SC,Above 5L
SCM3142,41-60,Male,All,Above 5L
SCM3143,60+,Female,OBC,Above 5L
SCM3144,26-40,Male,General,Above 5L
SCM3145,41-60,Female,SC,Below 2L
SCM3146,60+,Female,OBC,Above 5L
SCM3147,41-60,Female,SC,Below 2L
,18-25,Male,SC,No Limit
SCM3149,41-60,All,All,Above 5L
SCM3150,26-40,Female,ST,2L-5L
SCM3151,41-60,Male,ST,Above 5L
SCM3152,18-25,Male,ST,2L-5L
SCM3153,60+,Male,ST,2L-5L
SCM3154,60+,Female,ST,No Limit
SCM3155,60+,Female,SC,Above 5L
SCM3156,60+,Male,General,2L-5L
SCM3157,60+,All,All,No Limit
SCM3158,60+,Male,SC,2L-5L
SCM3159,41-60,All,All,No Limit
SCM3160,18-25,Female,ST,No Limit
SCM3161,41-60,All,OBC,No Limit
SCM3162,60+,All,ST,Above 5L
SCM3163,60+,All,All,Below 2L
SCM3164,26-40,Male,SC,2L-5L
SCM3165,18-25,Female,SC,Below 2L
SCM3166,18-25,All,ST,Above 5L
SCM3167,26-40,All,All,No Limit
SCM3168,60+,All,OBC,No Limit
SCM3169,60+,Male,SC,Below 2L
SCM3170,60+,All,OBC,Above 5L
SCM3171,26-40,Female,ST,Below 2L
SCM3172,60+,All,General,Above 5L
,41-60,Male,SC,2L-5L
SCM3174,18-25,Male,ST,Below 2L
SCM3175,18-25,All,ST,2L-5L
SCM3176,18-25,Female,OBC,Below 2L
SCM3177,41-60,Male,ST,Below 2L
SCM3178,41-60,Female,OBC,Below 2L
SCM3179,41-60,All,SC,Below 2L
SCM3180,41-60,Female,SC,No Limit
SCM3181,41-60,Female,All,2L-5L
,18-25,Male,General,No Limit
,41-60,Female,SC,Below 2L
,60+,Male,General,Below 2L
SCM3185,41-60,Male,All,Above 5L
SCM3186,41-60,Male,SC,2L-5L
SCM3187,60+,Male,OBC,Above 5L
SCM3188,41-60,Female,ST,2L-5L
SCM3189,41-60,Female,General,Above 5L
SCM3190,60+,Female,ST,Above 5L
SCM3191,18-25,All,General,Above 5L
SCM3192,18-25,Female,All,No Limit
SCM3193,41-60,Female,SC,2L-5L
SCM3194,18-25,Female,All,2L-5L
SCM3195,60+,Male,All,No Limit
SCM3196,26-40,All,General,Above 5L
SCM3197,26-40,All,ST,Above 5L
SCM3198,18-25,Male,OBC,Below 2L
SCM3199,18-25,All,ST,2L-5L
SCM3200,26-40,All,All,Below 2L
SCM3201,18-25,Female,OBC,Below 2L
SCM3202,60+,Male,OBC,No Limit
SCM3203,60+,All,SC,Below 2L
SCM3204,60+,Male,OBC,Above 5L
SCM3205,18-25,Female,General,No Limit
SCM3206,41-60,Male,ST,No Limit
SCM3207,41-60,Female,OBC,Above 5L
SCM3208,18-25,Female,OBC,2L-5L
SCM3209,60+,Male,ST,No Limit
SCM3210,26-40,Female,ST,2L-5L
SCM3211,26-40,All,General,Above 5L
SCM3212,26-40,All,ST,2L-5L
SCM3213,60+,All,SC,Below 2L
SCM3214,41-60,Female,SC,Below 2L
SCM3215,26-40,Female,OBC,2L-5L
,26-40,Male,SC,Below 2L
SCM3217,41-60,Male,General,No Limit
SCM3218,26-40,Female,All,Below 2L
SCM3219,60+,Female,All,2L-5L
SCM3220,18-25,Male,OBC,No Limit
SCM3221,18-25,All,SC,2L-5L
SCM3222,26-40,All,General,No Limit
SCM3223,60+,Male,ST,Below 2L
SCM3224,60+,All,ST,No Limit
SCM3225,41-60,Male,All,Above 5L
SCM3226,26-40,Female,SC,Below 2L
SCM3227,26-40,Female,SC,No Limit
,60+,Female,ST,No Limit
SCM3229,60+,All,SC,Above 5L
SCM3230,18-25,Female,SC,No Limit
SCM3231,60+,All,ST,2L-5L
SCM3232,41-60,Female,SC,Above 5L
SCM3233,26-40,Female,All,Above 5L
SCM3234,41-60,Male,ST,No Limit
SCM3235,26-40,Male,SC,2L-5L
SCM3236,18-25,All,SC,Below 2L
SCM3237,18-25,All,OBC,No Limit
SCM3238,26-40,All,ST,2L-5L
SCM3239,41-60,Female,ST,No Limit
SCM3240,26-40,All,ST,Below 2L
SCM3241,41-60,Female,All,No Limit
SCM3242,18-25,Male,ST,Below 2L
SCM3243,18-25,All,SC,2L-5L
SCM3244,41-60,All,All,Below 2L
SCM3245,41-60,All,General,No Limit
SCM3246,60+,All,ST,Below 2L
SCM3247,18-25,All,General,Below 2L
SCM3248,26-40,All,All,Above 5L
SCM3249,26-40,Female,SC,No Limit
SCM3250,18-25,Male,SC,Above 5L
SCM3251,41-60,Female,SC,No Limit
SCM3252,18-25,Male,ST,2L-5L
SCM3253,26-40,All,General,No Limit
SCM3254,26-40,Female,OBC,Below 2L
SCM3255,18-25,All,OBC,Below 2L
SCM3256,41-60,Male,OBC,2L-5L
SCM3257,26-40,Male,OBC,No Limit
SCM3258,60+,All,OBC,No Limit
,26-40,Male,ST,2L-5L
SCM3260,18-25,Male,SC,Below 2L
SCM3261,60+,Female,General,2L-5L
SCM3262,18-25,Female,SC,No Limit
SCM3263,60+,Male,All,2L-5L
SCM3264,60+,All,ST,Above 5L
SCM3265,60+,Female,OBC,No Limit
SCM3266,18-25,All,OBC,2L-5L
SCM3267,60+,All,All,Below 2L
SCM3268,18-25,All,All,2L-5L
SCM3269,41-60,All,OBC,No Limit
SCM3270,41-60,Female,OBC,No Limit
,18-25,All,General,Above 5L
SCM3272,41-60,Female,OBC,Above 5L
SCM3273,41-60,Female,OBC,2L-5L
SCM3274,18-25,Female,All,Above 5L
SCM3275,60+,Male,General,Above 5L
SCM3276,60+,All,OBC,Below 2L
SCM3277,60+,All,All,2L-5L
SCM3278,18-25,Male,General,Above 5L
SCM3279,18-25,All,OBC,No Limit
SCM3280,18-25,Male,ST,No Limit
SCM3281,60+,Male,All,2L-5L
SCM3282,60+,Male,General,No Limit
SCM3283,26-40,All,General,2L-5L
SCM3284,18-25,Female,ST,Above 5L
SCM3285,60+,Male,General,Below 2L
SCM3286,41-60,Female,OBC,Above 5L
,41-60,Female,OBC,Below 2L
SCM3288,41-60,Female,All,Above 5L
SCM3289,60+,All,General,No Limit
SCM3290,41-60,Male,ST,Below 2L
SCM3291,41-60,Female,General,Above 5L
SCM3292,26-40,All,ST,No Limit
,41-60,Female,SC,Below 2L
SCM3294,18-25,Female,General,Below 2L
,41-60,Female,SC,Below 2L
SCM3296,18-25,All,SC,No Limit
SCM3297,41-60,Male,ST,No Limit
SCM3298,60+,Male,All,2L-5L
SCM3299,26-40,Male,General,No Limit
SCM3300,41-60,Female,ST,2L-5L
SCM3301,26-40,Female,General,Below 2L
SCM3302,18-25,All,ST,2L-5L
SCM3303,18-25,Male,OBC,Below 2L
SCM3304,41-60,Male,SC,2L-5L
SCM3305,18-25,Male,SC,No Limit
,60+,Male,General,Below 2L
SCM3307,18-25,Female,SC,No Limit
SCM3308,18-25,All,All,Below 2L
SCM3309,26-40,Male,OBC,2L-5L
SCM3310,41-60,Female,General,2L-5L
SCM3311,26-40,All,General,Below 2L
SCM3312,26-40,Male,ST,Below 2L
SCM3313,41-60,Female,SC,Above 5L
SCM3314,18-25,Female,SC,2L-5L
SCM3315,18-25,All,All,Below 2L
SCM3316,26-40,Female,ST,Above 5L
SCM3317,18-25,All,OBC,Below 2L
SCM3318,18-25,Female,ST,2L-5L
SCM3319,18-25,Female,General,2L-5L
SCM3320,60+,Male,OBC,Below 2L
SCM3321,41-60,Female,OBC,2L-5L
SCM3322,26-40,Female,General,2L-5L
SCM3323,60+,Female,OBC,Above 5L
SCM3324,26-40,Male,OBC,2L-5L
SCM3325,18-25,Male,OBC,Above 5L
SCM3326,18-25,Female,OBC,Below 2L
SCM3327,41-60,All,General,No Limit
SCM3328,60+,Male,All,No Limit
,41-60,Male,OBC,Above 5L
SCM3330,26-40,All,General,Below 2L
SCM3331,18-25,Male,OBC,2L-5L
SCM3332,60+,Male,ST,Below 2L
SCM3333,18-25,All,General,No Limit
SCM3334,41-60,Male,ST,2L-5L
SCM3335,18-25,Male,General,Below 2L
SCM3336,26-40,Female,ST,2L-5L
SCM3337,18-25,Male,General,Above 5L
SCM3338,60+,Female,General,Below 2L
SCM3339,26-40,All,General,2L-5L
SCM3340,26-40,Male,SC,2L-5L
SCM3341,26-40,Female,ST,Below 2L
SCM3342,60+,Female,SC,No Limit
SCM3343,26-40,Female,General,No Limit
SCM3344,41-60,Male,OBC,2L-5L
SCM3345,26-40,Male,General,No Limit
SCM3346,26-40,Male,OBC,Above 5L
SCM3347,18-25,Female,All,2L-5L
SCM3348,26-40,Female,OBC,Below 2L
SCM3349,60+,Female,OBC,Above 5L
,18-25,Male,ST,Below 2L
SCM3351,60+,All,All,2L-5L
SCM3352,26-40,Female,OBC,Above 5L
SCM3353,26-40,Male,All,2L-5L
SCM3354,60+,Male,General,Below 2L
SCM3355,41-60,Female,SC,No Limit
SCM3356,60+,Male,OBC,No Limit
SCM3357,60+,All,ST,2L-5L
SCM3358,41-60,Male,OBC,No Limit
,26-40,Female,ST,Below 2L
,41-60,Male,OBC,2L-5L
SCM3361,41-60,All,ST,No Limit
SCM3362,26-40,Male,OBC,2L-5L
SCM3363,18-25,All,SC,No Limit
SCM3364,26-40,Female,General,Above 5L
,18-25,Female,SC,No Limit
SCM3366,26-40,Male,OBC,Below 2L
SCM3367,26-40,Male,ST,Below 2L
SCM3368,41-60,Female,OBC,Below 2L
SCM3369,60+,All,SC,2L-5L
,41-60,Female,SC,Above 5L
SCM3371,18-25,Female,OBC,No Limit
SCM3372,26-40,All,All,Above 5L
SCM3373,18-25,All,General,No Limit
SCM3374,60+,Female,OBC,2L-5L
SCM3375,41-60,All,All,Below 2L
SCM3376,60+,Male,ST,Below 2L
SCM3377,18-25,Male,ST,Above 5L
SCM3378,26-40,Female,SC,No Limit
SCM3379,18-25,All,SC,Above 5L
SCM3380,26-40,Female,General,Above 5L
SCM3381,60+,Female,ST,Below 2L
SCM3382,18-25,Male,SC,2L-5L
SCM3383,60+,Female,OBC,Above 5L
SCM3384,18-25,Male,SC,Above 5L
SCM3385,60+,Female,All,Below 2L
SCM3386,18-25,All,General,Below 2L
SCM3387,41-60,All,General,No Limit
SCM3388,41-60,All,SC,Above 5L
SCM3389,41-60,Male,SC,No Limit
SCM3390,18-25,Female,General,No Limit
SCM3391,41-60,Female,All,No Limit
SCM3392,26-40,Male,SC,Above 5L
SCM3393,60+,All,All,2L-5L
SCM3394,60+,Male,General,No Limit
SCM3395,26-40,Female,All,Above 5L
SCM3396,26-40,Female,General,2L-5L
SCM3397,18-25,Male,All,2L-5L
SCM3398,41-60,Male,OBC,Below 2L
SCM3399,41-60,Female,SC,Above 5L
SCM3400,18-25,All,General,No Limit
SCM3401,41-60,Male,General,Above 5L
SCM3402,41-60,Female,OBC,No Limit
SCM3403,26-40,Male,SC,Above 5L
SCM3404,26-40,Female,All,Above 5L
SCM3405,26-40,All,General,Above 5L
SCM3406,41-60,All,All,2L-5L
SCM3407,26-40,Female,OBC,2L-5L
SCM3408,41-60,All,General,2L-5L
SCM3409,41-60,Female,General,No Limit
SCM3410,60+,Female,General,Above 5L
SCM3411,18-25,Male,All,No Limit
SCM3412,41-60,Male,All,Above 5L
SCM3413,41-60,Female,General,Above 5L
SCM3414,60+,All,OBC,No Limit
SCM3415,26-40,Female,General,Above 5L
SCM3416,41-60,Male,ST,Below 2L
SCM3417,18-25,Female,General,Below 2L
SCM3418,18-25,Female,SC,Above 5L
,41-60,Male,ST,Below 2L
SCM3420,18-25,All,ST,No Limit
SCM3421,41-60,Female,General,Above 5L
SCM3422,60+,Female,OBC,No Limit
SCM3423,26-40,Male,OBC,Below 2L
SCM3424,26-40,Female,ST,2L-5L
SCM3425,26-40,Male,All,2L-5L
SCM3426,26-40,Female,SC,2L-5L
SCM3427,18-25,Male,SC,Above 5L
SCM3428,60+,Male,SC,Below 2L
SCM3429,18-25,Male,All,No Limit
SCM3430,18-25,Female,SC,2L-5L
,26-40,All,All,2L-5L
SCM3432,41-60,Male,OBC,Above 5L
SCM3433,60+,Female,SC,No Limit
SCM3434,41-60,Female,All,Above 5L
SCM3435,26-40,Male,All,No Limit
SCM3436,18-25,All,SC,Below 2L
SCM3437,60+,Female,General,Above 5L
SCM3438,60+,Male,ST,No Limit
,41-60,All,ST,Below 2L
SCM3440,41-60,Male,All,Above 5L
SCM3441,41-60,Male,OBC,Below 2L
SCM3442,26-40,All,ST,Below 2L
SCM3443,60+,Male,General,2L-5L
SCM3444,60+,Male,SC,2L-5L
,41-60,All,OBC,Below 2L
SCM3446,26-40,Male,ST,Below 2L
SCM3447,41-60,Male,SC,Below 2L
SCM3448,60+,Male,SC,Above 5L
SCM3449,41-60,All,SC,2L-5L
,41-60,Male,OBC,2L-5L
SCM3451,60+,All,SC,Below 2L
SCM3452,18-25,All,All,No Limit
SCM3453,41-60,All,OBC,No Limit
,26-40,All,ST,No Limit
SCM3455,18-25,All,ST,No Limit
SCM3456,60+,All,OBC,Below 2L
SCM3457,60+,All,All,No Limit
SCM3458,60+,Male,OBC,2L-5L
SCM3459,60+,Male,General,Below 2L
SCM3460,26-40,Male,General,Below 2L
,18-25,Female,OBC,No Limit
SCM3462,41-60,Female,SC,No Limit
SCM3463,26-40,All,SC,Above 5L
SCM3464,60+,Female,OBC,No Limit
SCM3465,60+,All,SC,No Limit
SCM3466,26-40,Female,SC,Below 2L
SCM3467,41-60,All,OBC,2L-5L
SCM3468,18-25,Female,All,No Limit
SCM3469,18-25,Female,SC,No Limit
,26-40,Female,ST,No Limit
SCM3471,60+,All,All,Below 2L
SCM3472,26-40,All,OBC,2L-5L
SCM3473,26-40,All,All,2L-5L
SCM3474,18-25,Male,General,Above 5L
SCM3475,18-25,Male,ST,Above 5L
SCM3476,41-60,Female,General,No Limit
SCM3477,26-40,Male,OBC,No Limit
SCM3478,41-60,Male,General,No Limit
SCM3479,26-40,Female,ST,2L-5L
SCM3480,18-25,Female,General,Above 5L
SCM3481,26-40,All,ST,2L-5L
SCM3482,41-60,All,All,Below 2L
SCM3483,41-60,All,General,Above 5L
SCM3484,18-25,All,SC,Below 2L
SCM3485,60+,Female,ST,Below 2L
SCM3486,26-40,Male,SC,2L-5L
SCM3487,60+,All,ST,Below 2L
SCM3488,41-60,Male,All,Above 5L
SCM3489,60+,Female,All,No Limit
SCM3490,41-60,Female,OBC,Below 2L
SCM3491,41-60,Male,ST,Below 2L
SCM3492,60+,Male,OBC,2L-5L
SCM3493,60+,All,OBC,Below 2L
SCM3494,60+,Female,General,2L-5L
SCM3495,18-25,Female,All,Above 5L
SCM3496,26-40,All,ST,2L-5L
SCM3497,18-25,All,General,Above 5L
SCM3498,26-40,Female,OBC,No Limit
SCM3499,18-25,Male,ST,No Limit
SCM3500,41-60,Male,SC,Above 5L
SCM3501,60+,All,All,2L-5L
SCM3502,26-40,All,OBC,No Limit
SCM3503,26-40,Male,OBC,Below 2L
SCM3504,41-60,Female,OBC,2L-5L
SCM3505,18-25,All,General,No Limit
SCM3506,60+,All,SC,Below 2L
SCM3507,18-25,All,All,2L-5L
SCM3508,18-25,Male,SC,Below 2L
SCM3509,60+,Male,SC,Below 2L
SCM3510,18-25,All,All,Below 2L
SCM3511,26-40,Female,SC,No Limit
SCM3512,18-25,Female,SC,Above 5L
SCM3513,26-40,Male,All,No Limit
SCM3514,18-25,Female,SC,Above 5L
SCM3515,41-60,Male,OBC,Above 5L
SCM3516,26-40,Female,General,Above 5L
SCM3517,60+,All,General,No Limit
SCM3518,26-40,Male,All,2L-5L
SCM3519,41-60,All,ST,2L-5L
SCM3520,26-40,All,ST,Below 2L
SCM3521,41-60,Female,General,2L-5L
SCM3522,60+,All,ST,2L-5L
SCM3523,26-40,Female,All,2L-5L
SCM3524,18-25,Male,General,2L-5L
SCM3525,26-40,Female,OBC,No Limit
SCM3526,26-40,All,OBC,No Limit
SCM3527,26-40,Female,ST,Above 5L
SCM3528,18-25,Female,SC,Above 5L
SCM3529,26-40,All,All,Below 2L
SCM3530,60+,Female,General,2L-5L
SCM3531,41-60,Male,All,Below 2L
SCM3532,26-40,All,All,2L-5L
SCM3533,26-40,All,All,Below 2L
SCM3534,41-60,All,ST,No Limit
SCM3535,60+,All,SC,No Limit
SCM3536,26-40,Male,OBC,Below 2L
SCM3537,18-25,All,ST,Below 2L
SCM3538,26-40,Female,SC,Above 5L
SCM3539,26-40,All,SC,Above 5L
SCM3540,18-25,All,All,Above 5L
SCM3541,41-60,Female,General,Below 2L
SCM3542,60+,Female,OBC,Above 5L
SCM3543,26-40,All,OBC,Above 5L
SCM3544,26-40,Male,ST,Below 2L
SCM3545,60+,Male,ST,Below 2L
SCM3546,26-40,Female,ST,Below 2L
SCM3547,18-25,All,ST,Below 2L
,41-60,Female,ST,2L-5L
SCM3549,18-25,Female,General,2L-5L
SCM3550,18-25,All,General,Above 5L
SCM3551,18-25,All,SC,No Limit
,26-40,Female,SC,Below 2L
SCM3553,18-25,Male,ST,2L-5L
SCM3554,60+,Male,OBC,No Limit
SCM3555,26-40,Male,ST,2L-5L
SCM3556,41-60,Female,OBC,Above 5L
SCM3557,60+,Male,OBC,No Limit
SCM3558,60+,Female,General,Above 5L
SCM3559,60+,All,SC,Below 2L
SCM3560,60+,Female,OBC,Above 5L
SCM3561,18-25,Male,SC,No Limit
SCM3562,41-60,Male,SC,No Limit
SCM3563,18-25,Female,ST,Below 2L
SCM3564,41-60,Male,SC,No Limit
SCM3565,18-25,Female,All,Below 2L
SCM3566,41-60,Male,All,Above 5L
SCM3567,60+,All,SC,No Limit
SCM3568,41-60,Male,All,Above 5L
SCM3569,18-25,Female,SC,2L-5L
SCM3570,41-60,Male,OBC,Below 2L
SCM3571,41-60,Female,General,Below 2L
SCM3572,41-60,Female,ST,2L-5L
SCM3573,60+,All,ST,No Limit
SCM3574,60+,All,ST,Below 2L
SCM3575,18-25,Male,General,Above 5L
SCM3576,60+,Male,All,Above 5L
SCM3577,26-40,All,SC,Above 5L
SCM3578,41-60,All,All,Above 5L
SCM3579,26-40,Female,ST,Below 2L
SCM3580,18-25,All,SC,No Limit
SCM3581,41-60,Female,ST,Above 5L
SCM3582,18-25,Female,SC,Below 2L
SCM3583,26-40,Male,General,2L-5L
SCM3584,18-25,Male,OBC,No Limit
SCM3585,26-40,All,General,2L-5L
SCM3586,26-40,All,All,Above 5L
SCM3587,18-25,Male,ST,Below 2L
SCM3588,26-40,Male,General,Below 2L
SCM3589,41-60,Male,OBC,2L-5L
,41-60,All,ST,Below 2L
SCM3591,41-60,Male,OBC,Above 5L
SCM3592,26-40,Female,All,Above 5L
SCM3593,60+,Female,ST,Above 5L
SCM3594,60+,Male,General,No Limit
,26-40,All,OBC,2L-5L
SCM3596,26-40,All,SC,Above 5L
SCM3597,60+,Female,OBC,No Limit
,41-60,Female,All,2L-5L
SCM3599,18-25,Male,SC,Above 5L
SCM3600,41-60,Male,OBC,No Limit
SCM3601,18-25,All,ST,No Limit
SCM3602,41-60,All,All,Above 5L
SCM3603,18-25,Female,SC,Above 5L
SCM3604,26-40,Male,All,Below 2L
SCM3605,26-40,Female,OBC,Above 5L
SCM3606,26-40,All,ST,Above 5L
SCM3607,60+,Male,SC,No Limit
SCM3608,26-40,All,General,Below 2L
SCM3609,60+,Male,SC,Above 5L
SCM3610,18-25,Female,ST,Below 2L
SCM3611,41-60,All,ST,Below 2L
SCM3612,26-40,Female,SC,No Limit
SCM3613,18-25,All,ST,2L-5L
SCM3614,60+,Male,All,Above 5L
SCM3615,41-60,All,OBC,Below 2L
SCM3616,18-25,Male,All,Above 5L
SCM3617,41-60,Male,ST,2L-5L
SCM3618,18-25,Male,General,No Limit
SCM3619,26-40,Female,General,No Limit
SCM3620,18-25,Male,General,Below 2L
SCM3621,26-40,Female,All,No Limit
SCM3622,41-60,Male,ST,Below 2L
SCM3623,60+,Female,General,Above 5L
SCM3624,41-60,All,General,No Limit
SCM3625,18-25,Male,All,Below 2L
SCM3626,60+,Female,All,2L-5L
,41-60,Female,All,2L-5L
SCM3628,18-25,All,OBC,Above 5L
SCM3629,60+,All,All,2L-5L
SCM3630,18-25,Male,General,No Limit
SCM3631,18-25,Female,General,Below 2L
SCM3632,41-60,Male,All,Below 2L
SCM3633,60+,Female,General,No Limit
SCM3634,26-40,Male,ST,No Limit
SCM3635,18-25,All,OBC,No Limit
SCM3636,60+,All,General,2L-5L
SCM3637,41-60,Female,General,Above 5L
SCM3638,26-40,Female,ST,Below 2L
SCM3639,41-60,Female,All,Above 5L
SCM3640,41-60,Male,General,2L-5L
,26-40,Male,ST,2L-5L
SCM3642,41-60,Female,General,Above 5L
SCM3643,41-60,Female,All,2L-5L
SCM3644,41-60,Male,SC,No Limit
SCM3645,60+,Male,ST,Above 5L
,18-25,All,SC,Below 2L
SCM3647,60+,Female,ST,Below 2L
SCM3648,60+,All,General,No Limit
SCM3649,60+,All,General,Above 5L
SCM3650,41-60,Male,All,No Limit
SCM3651,26-40,Female,All,Below 2L
SCM3652,18-25,Male,ST,Above 5L
SCM3653,60+,All,All,No Limit
SCM3654,41-60,All,OBC,Below 2L
SCM3655,26-40,All,ST,Below 2L
SCM3656,18-25,All,OBC,No Limit
SCM3657,41-60,Male,ST,2L-5L
SCM3658,26-40,All,ST,2L-5L
SCM3659,18-25,All,ST,Above 5L
SCM3660,60+,Female,SC,No Limit
SCM3661,41-60,Female,SC,No Limit
SCM3662,18-25,Female,All,2L-5L
SCM3663,18-25,Male,General,No Limit
SCM3664,41-60,Female,All,No Limit
SCM3665,18-25,Male,OBC,2L-5L
SCM3666,41-60,Female,ST,Above 5L
SCM3667,41-60,All,SC,Below 2L
SCM3668,18-25,Male,ST,Below 2L
SCM3669,26-40,Female,ST,No Limit
SCM3670,60+,Male,General,2L-5L
SCM3671,41-60,All,SC,2L-5L
SCM3672,18-25,Male,SC,No Limit
SCM3673,26-40,All,SC,Below 2L
SCM3674,18-25,Male,OBC,No Limit
,26-40,Male,OBC,2L-5L
SCM3676,41-60,Female,General,No Limit
SCM3677,41-60,Female,OBC,No Limit
SCM3678,18-25,Male,OBC,Above 5L
SCM3679,18-25,Male,General,2L-5L
SCM3680,60+,Female,General,2L-5L
SCM3681,26-40,Female,OBC,Above 5L
SCM3682,18-25,All,SC,No Limit
SCM3683,26-40,Female,ST,2L-5L
SCM3684,26-40,All,SC,Above 5L
SCM3685,26-40,Female,ST,2L-5L
,41-60,Female,All,No Limit
SCM3687,26-40,Male,ST,Below 2L
SCM3688,41-60,Female,ST,2L-5L
SCM3689,41-60,Female,ST,Below 2L
SCM3690,18-25,All,General,No Limit
SCM3691,26-40,All,All,No Limit
SCM3692,26-40,Female,ST,No Limit
SCM3693,26-40,Male,ST,Below 2L
SCM3694,26-40,Male,OBC,Below 2L
SCM3695,26-40,Female,All,Above 5L
SCM3696,41-60,Male,OBC,Above 5L
SCM3697,26-40,All,OBC,Below 2L
SCM3698,60+,Female,OBC,Above 5L
SCM3699,26-40,Male,OBC,2L-5L
SCM3700,41-60,All,OBC,Below 2L
SCM3701,18-25,Male,SC,No Limit
SCM3702,41-60,All,SC,2L-5L
SCM3703,18-25,All,All,Above 5L
SCM3704,18-25,All,All,Above 5L
SCM3705,60+,All,OBC,No Limit
SCM3706,41-60,Male,ST,Above 5L
SCM3707,18-25,Male,SC,Below 2L
SCM3708,60+,All,General,Below 2L
SCM3709,26-40,All,SC,2L-5L
SCM3710,26-40,All,SC,Above 5L
SCM3711,60+,All,All,No Limit
SCM3712,41-60,Male,ST,Above 5L
SCM3713,18-25,Male,SC,No Limit
SCM3714,18-25,All,General,No Limit
SCM3715,60+,Female,ST,2L-5L
,18-25,Male,OBC,Above 5L
SCM3717,41-60,Male,OBC,No Limit
SCM3718,18-25,All,SC,Below 2L
SCM3719,41-60,Female,SC,Below 2L
SCM3720,41-60,Female,All,Below 2L
SCM3721,26-40,Female,All,2L-5L
SCM3722,60+,Male,SC,Below 2L
SCM3723,41-60,Male,All,No Limit
