Scheme_ID,Feedback_Rating,Approval_Rate,Implementation_Score,Success_Rate,Application_Mode,Required_Documents,Scheme_Objective
SCM3165,3,60.65,1.51,89.33,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM3166,4,70.9,1.1,77.65,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM3167,2,68.77,1.94,61.71,Both,"Aadhaar, Income Certificate",Education access
SCM3168,4,52.93,7.62,78.45,Offline,None,Housing for all
SCM3169,3,89.99,2.71,42.1,Offline,"Caste Certificate, Income Certificate",Women empowerment
SCM3170,2,91.81,5.63,68.53,Offline,None,Women empowerment
SCM3171,1,63.36,2.67,73.25,Offline,"Aadhaar, Income Certificate",Employment generation
SCM3172,2,66.2,3.56,94.94,Online,"Ration Card, Aadhaar",Technology adoption
,3,66.05,1.34,34.68,Online,"Ration Card, Aadhaar",Employment generation
SCM3174,1,75.86,4.3,56.23,Both,None,Women empowerment
SCM3175,4,73.45,2.23,95.58,Online,"Ration Card, Aadhaar",Housing for all
SCM3176,3,94.34,6.02,45.21,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM3177,4,74.68,8.53,86.92,Offline,"Ration Card, Aadhaar",Education access
SCM3178,3,58.9,8.91,30.11,Online,"Ration Card, Aadhaar",Technology adoption
SCM3179,4,87.38,9.4,31.81,Both,None,Employment generation
SCM3180,2,93.41,2.12,52.93,Both,"Ration Card, Aadhaar",Technology adoption
SCM3181,1,80.47,5.65,83.8,Offline,"Aadhaar, Income Certificate",Financial inclusion
,2,88.23,2.03,37.29,Offline,None,Skill development
,3,61.22,3.76,56.8,Online,"Ration Card, Aadhaar",Sanitation awareness
,1,94.99,3.08,39.2,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM3185,2,53.76,1.11,45.65,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM3186,3,94.96,9.39,65.21,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM3187,1,68.2,8.04,52.34,Both,"Ration Card, Aadhaar",Women empowerment
SCM3188,2,54.49,5.67,44.83,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM3189,4,59.07,4.1,57.54,Online,None,Women empowerment
SCM3190,1,99.46,4.7,79.07,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM3191,4,68.64,2.85,,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3192,1,88.71,9.71,63.57,Online,None,Startup support
SCM3193,2,73.86,3.57,49.23,Online,"Aadhaar, PAN, Bank Passbook",Education access
SCM3194,3,78.84,1.67,56.5,Offline,"Caste Certificate, Income Certificate",Housing for all
SCM3195,2,81.83,6.08,87.51,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM3196,2,80.14,7.74,,Offline,"Ration Card, Aadhaar",Education access
SCM3197,1,99.91,9.74,47.01,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM3198,4,77.57,6.59,74.1,Offline,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM3199,2,81.06,2.66,77.37,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM3200,4,67.47,4.52,88.97,Both,"Aadhaar, PAN, Bank Passbook",Startup support
SCM3201,1,62.03,3.85,92.93,Offline,"Aadhaar, Income Certificate",Skill development
SCM3202,3,72.45,1.18,62.76,Offline,"Ration Card, Aadhaar",Women empowerment
SCM3203,1,80.71,4.53,98.78,Offline,"Aadhaar, Income Certificate",Women empowerment
SCM3204,4,65.73,8.2,97.96,Offline,None,Employment generation
SCM3205,4,74.98,4.65,65.45,Offline,None,Startup support
SCM3206,4,90.74,8.67,67.94,Online,"Caste Certificate, Income Certificate",Education access
SCM3207,2,71.19,7.69,76.74,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM3208,4,78.91,7.47,56.17,Both,"Ration Card, Aadhaar",Employment generation
SCM3209,4,96.25,4.43,76.34,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3210,2,81.16,1.48,66,Online,"Caste Certificate, Income Certificate",Startup support
SCM3211,4,65.54,8.94,32.48,Offline,"Ration Card, Aadhaar",Health insurance coverage
SCM3212,2,78.49,6.74,89.69,Both,"Aadhaar, PAN, Bank Passbook",Education access
SCM3213,3,93.04,1.81,95.83,Online,"Ration Card, Aadhaar",Startup support
SCM3214,2,57.64,1.73,31.84,Offline,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM3215,2,91.18,6.53,85.25,Both,"Aadhaar, Income Certificate",Housing for all
,4,55.02,4.8,57.01,Offline,"Aadhaar, Income Certificate",Education access
SCM3217,1,97.86,2.72,70.99,Online,"Ration Card, Aadhaar",Women empowerment
SCM3218,2,57.98,3.15,65,Both,"Ration Card, Aadhaar",Sanitation awareness
SCM3219,1,73.31,4.47,68.59,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3220,3,97.55,7.75,,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM3221,2,60.44,2.77,89.74,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM3222,4,82.09,7.32,77.85,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3223,3,86.87,2.61,58.88,Both,"Ration Card, Aadhaar",Women empowerment
SCM3224,2,51.89,7.87,78.2,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM3225,2,79.71,9.1,97.55,Both,None,Startup support
SCM3226,4,88,4.99,35.62,Both,"Ration Card, Aadhaar",Skill development
SCM3227,4,98.49,6.77,57.17,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
,4,56.94,3.4,90.93,Offline,None,Financial inclusion
SCM3229,2,93.18,9.35,81.73,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM3230,1,81.47,4.83,95.45,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3231,4,86.37,5.47,,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3232,1,87.04,3.35,90.39,Offline,None,Sanitation awareness
SCM3233,4,86.2,2.75,,Online,"Aadhaar, PAN, Bank Passbook",Education access
SCM3234,1,96.16,3.05,87.05,Offline,None,Education access
SCM3235,2,56.15,5.28,71.81,Online,"Caste Certificate, Income Certificate",Skill development
SCM3236,2,64.17,2.24,,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3237,2,95.16,4.49,67.74,Both,"Caste Certificate, Income Certificate",Startup support
SCM3238,1,72.82,4.44,58.54,Online,"Caste Certificate, Income Certificate",Education access
SCM3239,1,70.29,4.9,66.89,Offline,"Aadhaar, Income Certificate",Education access
SCM3240,3,76.96,4.8,,Offline,None,Employment generation
SCM3241,4,65.53,3.47,71.72,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM3242,1,79.89,4.3,50.48,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM3243,4,93.97,9.12,71.97,Offline,"Ration Card, Aadhaar",Health insurance coverage
SCM3244,3,69.79,1.34,35.82,Both,"Ration Card, Aadhaar",Startup support
SCM3245,3,60.39,1.79,30.38,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM3246,1,57.81,9.36,,Offline,"Caste Certificate, Income Certificate",Skill development
SCM3247,2,84.89,3.44,83,Both,"Ration Card, Aadhaar",Skill development
SCM3248,1,53.68,3.74,87.58,Online,"Ration Card, Aadhaar",Education access
SCM3249,3,53.76,4.1,68.49,Online,"Caste Certificate, Income Certificate",Startup support
SCM3250,2,98.06,1.93,90.76,Offline,None,Housing for all
SCM3251,1,83.35,7.92,,Online,None,Skill development
SCM3252,2,59.46,2.47,97.49,Both,None,Employment generation
SCM3253,3,81.62,7.32,94.52,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM3254,1,78.94,3.09,71.95,Both,"Aadhaar, Income Certificate",Skill development
SCM3255,2,88.96,7.14,34.11,Online,None,Women empowerment
SCM3256,3,71.18,9.75,61.79,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3257,1,50.84,5.59,42.55,Offline,None,Skill development
SCM3258,1,72.01,3.87,73.99,Offline,None,Health insurance coverage
,2,84.56,4.4,43.3,Online,None,Skill development
SCM3260,2,97.86,4.46,63.73,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM3261,2,92.01,2.13,44.39,Online,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM3262,1,51.16,8.37,42.73,Both,"Ration Card, Aadhaar",Women empowerment
SCM3263,2,62.23,4.41,47.35,Both,"Aadhaar, Income Certificate",Startup support
SCM3264,2,77.49,7.46,32.04,Online,"Ration Card, Aadhaar",Financial inclusion
SCM3265,4,52.77,3.43,80.13,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM3266,2,79.78,4.21,51.47,Online,"Ration Card, Aadhaar",Women empowerment
SCM3267,1,71.45,8.98,78.87,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3268,1,83.43,4.82,75.74,Offline,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM3269,4,61.03,4.18,34.63,Both,None,Sanitation awareness
SCM3270,3,59.36,3.82,51.84,Online,"Ration Card, Aadhaar",Financial inclusion
,1,95.76,9.04,69.68,Both,"Aadhaar, Income Certificate",Skill development
SCM3272,4,67.18,4.81,94.29,Offline,None,Technology adoption
SCM3273,1,98.55,8.89,58.09,Online,None,Startup support
SCM3274,2,57.98,3.7,65.34,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM3275,2,87.67,9.8,82.51,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM3276,1,60.08,5.53,86.23,Offline,"Aadhaar, PAN, Bank Passbook",Skill development
SCM3277,4,85.79,2.48,94.63,Both,"Aadhaar, Income Certificate",Technology adoption
SCM3278,1,63.12,4.82,64.8,Online,"Caste Certificate, Income Certificate",Education access
SCM3279,2,66.58,7.14,43.57,Offline,"Caste Certificate, Income Certificate",Women empowerment
SCM3280,2,82.06,8.99,83.51,Online,"Caste Certificate, Income Certificate",Employment generation
SCM3281,4,51.68,2.14,38.79,Both,"Aadhaar, Income Certificate",Skill development
SCM3282,4,62.33,6.03,59.28,Both,None,Employment generation
SCM3283,2,92.87,5.79,73.97,Offline,"Caste Certificate, Income Certificate",Education access
SCM3284,3,65.57,3.96,78.43,Offline,None,Employment generation
SCM3285,2,97.79,4.68,81.31,Offline,"Aadhaar, Income Certificate",Housing for all
SCM3286,3,57.16,3.74,43.55,Online,None,Health insurance coverage
,4,86.07,3.72,98.72,Offline,"Caste Certificate, Income Certificate",Skill development
SCM3288,1,58.16,5.8,,Online,"Caste Certificate, Income Certificate",Education access
SCM3289,2,88.19,1.54,,Both,"Aadhaar, Income Certificate",Housing for all
SCM3290,3,60.66,5.33,76.48,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM3291,2,93.3,3.92,93.7,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM3292,2,81.21,5.18,69.16,Offline,"Ration Card, Aadhaar",Technology adoption
,1,94.06,9.77,71.68,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM3294,3,81.4,7.67,67.69,Offline,None,Skill development
,4,90.33,8.75,32.99,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM3296,3,93.49,4.34,,Online,"Aadhaar, Income Certificate",Education access
SCM3297,2,73.45,7.35,55.07,Offline,"Caste Certificate, Income Certificate",Employment generation
SCM3298,1,83.67,5.17,95.5,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3299,4,51.33,6.37,43.08,Both,"Aadhaar, Income Certificate",Financial inclusion
SCM3300,1,74.82,4.94,,Offline,"Ration Card, Aadhaar",Startup support
SCM3301,1,60.63,2.19,65.34,Both,"Ration Card, Aadhaar",Housing for all
SCM3302,2,55.73,9.53,63.41,Online,"Aadhaar, PAN, Bank Passbook",Startup support
SCM3303,4,99.82,7.36,58.02,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM3304,1,99.85,6.41,52.01,Both,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM3305,4,60.65,6.05,40.3,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
,4,94.87,7.51,87.46,Offline,"Caste Certificate, Income Certificate",Housing for all
SCM3307,4,94.85,5.79,61.41,Online,None,Housing for all
SCM3308,1,98.82,2.94,70.11,Both,"Ration Card, Aadhaar",Startup support
SCM3309,1,69.62,1.07,68.26,Online,None,Housing for all
SCM3310,3,96.6,4.45,70.28,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM3311,4,89.09,6.07,79.34,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM3312,1,86.75,4.35,74.06,Both,"Caste Certificate, Income Certificate",Housing for all
SCM3313,1,62.39,5.8,49.17,Online,"Aadhaar, Income Certificate",Housing for all
SCM3314,2,74.52,6.98,68.76,Both,"Ration Card, Aadhaar",Women empowerment
SCM3315,3,89.4,8.29,47.12,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM3316,4,92.34,3.69,71.22,Offline,"Aadhaar, Income Certificate",Housing for all
SCM3317,1,59.89,6.7,60.24,Offline,None,Housing for all
SCM3318,1,65.56,9.03,32.76,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM3319,3,58.13,2.37,81.38,Online,None,Technology adoption
SCM3320,3,57.56,7.21,49.23,Both,"Aadhaar, Income Certificate",Employment generation
SCM3321,4,60.67,9.23,94.41,Online,"Caste Certificate, Income Certificate",Education access
SCM3322,1,95.47,7.04,49.64,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3323,3,68.13,1.83,99.76,Both,"Caste Certificate, Income Certificate",Startup support
SCM3324,1,74.88,3.55,62.41,Online,"Aadhaar, Income Certificate",Employment generation
SCM3325,3,50.58,2.71,31.85,Online,"Caste Certificate, Income Certificate",Women empowerment
SCM3326,1,87.65,9.21,35.34,Online,"Aadhaar, PAN, Bank Passbook",Startup support
SCM3327,3,64.43,9.93,35.75,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM3328,1,85.21,4.9,,Offline,"Aadhaar, Income Certificate",Sanitation awareness
,3,59.94,9.07,48.75,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM3330,3,68.85,2.22,52.72,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3331,4,75.88,1.03,37.79,Offline,"Caste Certificate, Income Certificate",Skill development
SCM3332,1,81.56,6.12,60.67,Offline,None,Women empowerment
SCM3333,2,58.24,9.89,55.57,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM3334,3,71.62,6.06,74.54,Online,"Ration Card, Aadhaar",Housing for all
SCM3335,1,50.59,9.82,43.71,Online,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM3336,2,56.64,5.06,93.98,Both,None,Financial inclusion
SCM3337,4,66.41,4.44,66.12,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM3338,4,96.84,9.37,73.66,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3339,2,94.16,1.44,32.77,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM3340,4,76.19,3.94,69.14,Both,"Caste Certificate, Income Certificate",Employment generation
SCM3341,4,80.22,4.99,55.77,Online,"Ration Card, Aadhaar",Women empowerment
SCM3342,1,64.41,1.78,94.69,Both,"Aadhaar, Income Certificate",Technology adoption
SCM3343,3,83.49,5.65,92,Online,None,Women empowerment
SCM3344,1,61.86,4.38,74.64,Online,"Caste Certificate, Income Certificate",Education access
SCM3345,3,50.13,4.93,83.75,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM3346,2,98.16,7.18,75.12,Online,"Caste Certificate, Income Certificate",Women empowerment
SCM3347,3,69.08,1.63,31.19,Offline,"Ration Card, Aadhaar",Women empowerment
SCM3348,1,76.14,9.66,79.22,Online,"Aadhaar, Income Certificate",Startup support
SCM3349,1,55,5.7,42.4,Online,"Ration Card, Aadhaar",Startup support
,4,76.37,8.55,77.78,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM3351,2,95.12,3.87,30.74,Online,None,Financial inclusion
SCM3352,1,93.88,3.82,51.76,Offline,"Aadhaar, Income Certificate",Housing for all
SCM3353,3,78.9,9.13,66.18,Both,"Caste Certificate, Income Certificate",Startup support
SCM3354,1,92.84,2.06,53.32,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM3355,1,68.21,1.93,78.58,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM3356,1,59.63,7.27,66.59,Both,"Caste Certificate, Income Certificate",Technology adoption
SCM3357,4,71.08,5.19,97.18,Both,"Ration Card, Aadhaar",Startup support
SCM3358,4,90.48,7.46,55.05,Online,"Aadhaar, Income Certificate",Employment generation
,3,85.34,4.9,80.53,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
,4,69.23,2.91,88.51,Online,"Caste Certificate, Income Certificate",Startup support
SCM3361,3,67.08,7.44,47.75,Online,None,Sanitation awareness
SCM3362,4,98.22,1.35,82.79,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM3363,4,63.17,5.03,57.53,Online,"Aadhaar, Income Certificate",Education access
SCM3364,2,65.41,5.13,39.01,Both,"Ration Card, Aadhaar",Housing for all
,3,67.36,1.7,30.26,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3366,4,89.15,3.17,82.06,Both,"Ration Card, Aadhaar",Housing for all
SCM3367,1,92.51,3.34,43.04,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM3368,1,60.85,9.04,33.58,Offline,"Ration Card, Aadhaar",Startup support
SCM3369,4,70.37,5.61,64.8,Both,None,Startup support
,3,93.27,7.04,54.27,Offline,None,Health insurance coverage
SCM3371,4,65.68,1.49,78.43,Both,"Aadhaar, Income Certificate",Technology adoption
SCM3372,3,70.19,1.93,37.52,Offline,"Ration Card, Aadhaar",Women empowerment
SCM3373,4,77.68,6.07,39.29,Both,"Aadhaar, Income Certificate",Financial inclusion
SCM3374,2,82.07,8.52,58.29,Online,"Aadhaar, Income Certificate",Education access
SCM3375,3,65.18,1.48,66.43,Online,"Ration Card, Aadhaar",Technology adoption
SCM3376,4,78.79,9.85,87.69,Offline,"Aadhaar, Income Certificate",Skill development
SCM3377,2,86.22,8.97,70.99,Offline,"Aadhaar, Income Certificate",Sanitation awareness
SCM3378,2,54.5,8.86,93.18,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM3379,3,99.97,1.08,45.24,Offline,"Aadhaar, Income Certificate",Education access
SCM3380,4,96.64,4.66,71.74,Online,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM3381,2,57.65,8.16,75.87,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM3382,2,66.6,7.83,80.81,Online,"Ration Card, Aadhaar",Financial inclusion
SCM3383,1,64.07,4.11,99.21,Both,None,Employment generation
SCM3384,1,51.1,8.9,62.76,Both,"Aadhaar, Income Certificate",Technology adoption
SCM3385,1,75.1,6.72,55.85,Online,"Ration Card, Aadhaar",Startup support
SCM3386,3,57.91,9.95,89.65,Both,None,Skill development
SCM3387,1,56.84,4.01,,Both,"Caste Certificate, Income Certificate",Sanitation awareness
SCM3388,4,60.54,6.79,32.59,Online,"Caste Certificate, Income Certificate",Housing for all
SCM3389,2,87.98,4.82,61.05,Offline,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM3390,1,56.46,6.83,47.3,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3391,4,81.42,3.34,57.76,Online,None,Technology adoption
SCM3392,4,64.54,4.44,99.03,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM3393,1,53.42,9.39,54.39,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM3394,3,98.9,3.6,79.56,Online,"Ration Card, Aadhaar",Education access
SCM3395,4,82.39,6.59,47.53,Online,"Aadhaar, Income Certificate",Education access
SCM3396,3,60.18,9.27,51.24,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM3397,3,75.31,5.33,47.02,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM3398,3,69.43,7.26,70.05,Offline,"Aadhaar, Income Certificate",Employment generation
SCM3399,4,58.77,7.73,45.83,Online,None,Health insurance coverage
SCM3400,1,98.06,5.9,80.29,Online,"Ration Card, Aadhaar",Skill development
SCM3401,4,92.97,4.41,77.62,Offline,"Aadhaar, PAN, Bank Passbook",Skill development
SCM3402,2,68.46,8.28,59.49,Both,"Caste Certificate, Income Certificate",Startup support
SCM3403,2,90.54,5.99,,Offline,"Aadhaar, Income Certificate",Employment generation
SCM3404,1,59.48,2.05,31.59,Both,"Ration Card, Aadhaar",Financial inclusion
SCM3405,4,53.75,8.87,67.3,Both,None,Women empowerment
SCM3406,4,76.33,3.68,88.74,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM3407,2,69.62,5.44,,Both,"Ration Card, Aadhaar",Education access
SCM3408,2,53.49,2.92,60.5,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM3409,4,81.52,5.43,,Online,"Ration Card, Aadhaar",Technology adoption
SCM3410,4,90.98,2.16,43.79,Online,"Aadhaar, Income Certificate",Housing for all
SCM3411,1,76.37,6.1,55.16,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM3412,4,52.7,5.71,69.57,Both,None,Sanitation awareness
SCM3413,3,68.87,8.37,50.42,Offline,"Aadhaar, Income Certificate",Financial inclusion
SCM3414,1,62.54,6.04,99.84,Offline,"Ration Card, Aadhaar",Employment generation
SCM3415,3,57.43,4.68,61.66,Offline,None,Women empowerment
SCM3416,2,74.96,5.2,33.62,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM3417,3,53.27,6.44,42.33,Online,"Ration Card, Aadhaar",Skill development
SCM3418,3,53.16,8.56,,Online,"Aadhaar, Income Certificate",Education access
,2,88.84,1.38,68.5,Both,None,Women empowerment
SCM3420,3,71.38,9.34,98.89,Both,None,Education access
SCM3421,4,87.23,1.75,72,Offline,None,Startup support
SCM3422,2,66.33,4.1,76.66,Online,"Ration Card, Aadhaar",Skill development
SCM3423,2,67.51,4.03,44.96,Offline,"Ration Card, Aadhaar",Women empowerment
SCM3424,4,71.41,5.79,37.48,Both,"Ration Card, Aadhaar",Technology adoption
SCM3425,1,65.22,4.19,72.14,Online,None,Skill development
SCM3426,1,77.95,2.97,90.54,Online,"Ration Card, Aadhaar",Skill development
SCM3427,1,53.64,3.19,71.12,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM3428,2,77.87,9.87,60.99,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM3429,3,85.69,8.53,70.47,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM3430,4,99.61,8.25,62.81,Offline,"Aadhaar, Income Certificate",Women empowerment
,3,81.87,4.77,39.93,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM3432,4,85.45,9.43,81.88,Online,"Aadhaar, Income Certificate",Financial inclusion
SCM3433,1,79.76,1.56,67.31,Both,None,Skill development
SCM3434,1,97.55,2.13,57.95,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM3435,1,90.49,3.22,,Online,"Caste Certificate, Income Certificate",Skill development
SCM3436,4,80.76,6.78,46.89,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM3437,2,66.63,2.5,59.96,Offline,"Aadhaar, Income Certificate",Startup support
SCM3438,4,66.22,4.02,73.57,Online,None,Health insurance coverage
,2,87.66,2.59,45.83,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3440,1,96.43,8.2,82.43,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM3441,2,99.28,9.18,66.47,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM3442,1,63.12,8.65,90.32,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM3443,3,79.6,1.25,89.31,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM3444,4,85.1,3.85,64.62,Online,None,Education access
,2,70.65,6.74,43.68,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM3446,2,55.46,1.01,81.56,Online,"Ration Card, Aadhaar",Women empowerment
SCM3447,2,64.3,7.72,59.31,Online,"Caste Certificate, Income Certificate",Employment generation
SCM3448,2,75.77,8.82,71.62,Offline,"Caste Certificate, Income Certificate",Skill development
SCM3449,3,55.75,1.7,37.51,Both,"Caste Certificate, Income Certificate",Women empowerment
,3,65.65,4.88,74.21,Online,"Aadhaar, Income Certificate",Housing for all
SCM3451,2,62.89,3.73,56.15,Offline,None,Financial inclusion
SCM3452,3,67.72,9.52,53.39,Both,"Caste Certificate, Income Certificate",Skill development
SCM3453,1,84.34,3.92,98.59,Online,"Ration Card, Aadhaar",Startup support
,3,73.81,6.23,60.27,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM3455,4,68.81,1.08,77.46,Both,"Aadhaar, Income Certificate",Housing for all
SCM3456,4,63.74,8.53,73.94,Online,"Aadhaar, Income Certificate",Women empowerment
SCM3457,1,84.43,1.26,37.3,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM3458,2,83.72,6.12,82.35,Offline,"Aadhaar, Income Certificate",Sanitation awareness
SCM3459,1,72.32,7.67,52.62,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM3460,1,63.94,4.57,85.93,Both,"Ration Card, Aadhaar",Technology adoption
,3,90.45,1.29,72.53,Both,"Aadhaar, Income Certificate",Education access
SCM3462,2,92.61,9.11,,Both,None,Education access
SCM3463,3,92.31,4.29,54.94,Online,None,Sanitation awareness
SCM3464,3,69.63,5.2,81.21,Online,"Aadhaar, Income Certificate",Financial inclusion
SCM3465,2,62.71,8.32,68.5,Offline,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM3466,2,92.3,6.95,,Both,"Aadhaar, Income Certificate",Housing for all
SCM3467,3,98.99,3.93,41.08,Both,"Caste Certificate, Income Certificate",Education access
SCM3468,3,59.68,5.87,85.09,Online,"Ration Card, Aadhaar",Housing for all
SCM3469,4,81.82,1.85,52.43,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
,1,66.48,5.33,73.39,Offline,"Aadhaar, Income Certificate",Housing for all
SCM3471,1,74.29,4.85,38.03,Offline,None,Technology adoption
SCM3472,3,78.61,7.84,52.5,Both,"Ration Card, Aadhaar",Sanitation awareness
SCM3473,3,76.93,8.2,75.42,Offline,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM3474,3,88.08,8.85,49.19,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM3475,4,98.58,8.72,91.62,Online,"Aadhaar, Income Certificate",Startup support
SCM3476,3,54.3,9.99,76.29,Offline,None,Employment generation
SCM3477,4,84.17,7.37,90.92,Offline,None,Housing for all
SCM3478,3,76.17,6.59,57.68,Both,None,Housing for all
SCM3479,2,69.83,2.32,32.38,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM3480,4,83.11,5.21,70.33,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM3481,3,94.31,4.87,,Online,"Ration Card, Aadhaar",Education access
SCM3482,3,80.53,7.61,61.37,Both,"Aadhaar, PAN, Bank Passbook",Skill development
SCM3483,1,91.03,3.47,77.68,Online,None,Financial inclusion
SCM3484,2,64.77,8.84,79.05,Both,"Ration Card, Aadhaar",Education access
SCM3485,1,71.88,2.98,,Online,"Caste Certificate, Income Certificate",Women empowerment
SCM3486,3,58.72,5.35,83.85,Offline,"Ration Card, Aadhaar",Technology adoption
SCM3487,3,78.63,9.5,64.55,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM3488,3,86.97,4.1,68.97,Online,"Aadhaar, Income Certificate",Startup support
SCM3489,4,78.97,7.55,50.86,Offline,"Aadhaar, Income Certificate",Health insurance coverage
SCM3490,3,95.6,4.02,59.46,Both,"Caste Certificate, Income Certificate",Skill development
SCM3491,4,92.97,5.63,79.73,Offline,"Ration Card, Aadhaar",Startup support
